	Perturbed Premise	Perturbed Hypothesis	label	Original Premise	Original Hypothesis	perturbed_label	attack
21	During calf roping a cowboy calls off his horse.	A man ropes a cqlf successfully.	2	During calf roping a cowboy calls off his horse.	A man ropes a calf successfully.	0	WordSwapQWERTY
22	A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctorate is studying	1	A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctor is studying	2	WordSwapEmbedding
23	During calf roping a cowboy calls off his horse.	A man ropes a ox successfully.	2	During calf roping a cowboy calls off his horse.	A man ropes a calf successfully.	0	WordSwapEmbedding
24	A snowboarder on a wide plain of snow	A skydiver gliding over a field of snow	1	A snowboarder on a wide plain of snow	A snowboarder gliding over a field of snow	0	WordSwapEmbedding
25	A blond-haired doctor and her African american assistant looking threw new punches.	A doctor is studying	1	A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctor is studying	0	WordMergeMaskedLM
26	During calf roping she calls off his horse.	A man ropes a calf successfully.	2	During calf roping a cowboy calls off his horse.	A man ropes a calf successfully.	0	WordMergeMaskedLM
27	lying on a wide plain of snow	A snowboarder gliding over a field of snow	1	A snowboarder on a wide plain of snow	A snowboarder gliding over a field of snow	0	WordMergeMaskedLM
28	A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctor is stuԁying	1	A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctor is studying	0	WordSwapHomoglyphSwap
29	During calf roping a cowboy calls off his horse.	A man ropes a calf sսccessfully.	2	During calf roping a cowboy calls off his horse.	A man ropes a calf successfully.	0	WordSwapHomoglyphSwap
30	A snowboarder on a wide plain of snow	A snowboarder ɡliding over a field of snow	1	A snowboarder on a wide plain of snow	A snowboarder gliding over a field of snow	2	WordSwapHomoglyphSwap
31	During calf roping a cowboy calls off his horse.	A man ropes a pony successfully.	2	During calf roping a cowboy calls off his horse.	A man ropes a calf successfully.	0	WordSwapHowNet
32	A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctor is meditate	1	A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctor is studying	0	WordSwapWordNet
33	During calf roping a cowboy calls off his horse.	A man lasso a calf successfully.	2	During calf roping a cowboy calls off his horse.	A man ropes a calf successfully.	0	WordSwapWordNet
34	A snowboarder on a wide plain of snow	A snowboarder gliding over a field of coke	1	A snowboarder on a wide plain of snow	A snowboarder gliding over a field of snow	0	WordSwapWordNet
35	A Ford car is making a right turn as 3 males are walking across the street behind the car.	A sedna was turning a corner as walkers were crossing.	1	A Ford car is making a right turn as 3 males are walking across the street behind the car.	A sedan was turning a corner as walkers were crossing.	0	WordSwapNeighboringCharacterSwap
36	A crowd of people looking up at 3 people on the edge of the roof of a building.	The crodw on the ground is watching 3 people on the roof's edge.	0	A crowd of people looking up at 3 people on the edge of the roof of a building.	The crowd on the ground is watching 3 people on the roof's edge.	1	WordSwapNeighboringCharacterSwap
37	A person with a purple shirt is painting an image of a woman on a white wall.	A woman paints a portrati of a person.	1	A person with a purple shirt is painting an image of a woman on a white wall.	A woman paints a portrait of a person.	2	WordSwapNeighboringCharacterSwap
38	The flight attendant dressed in yellow demonstrates life vest usage.	A womna is preparing drinks on an airplane.	2	The flight attendant dressed in yellow demonstrates life vest usage.	A woman is preparing drinks on an airplane.	0	WordSwapNeighboringCharacterSwap
39	Six dogs swimming in a river.	Six odgs swim across the river.	1	Six dogs swimming in a river.	Six dogs swim across the river.	2	WordSwapNeighboringCharacterSwap
40	A Ford car is making a right turn as 3 males are walking across the street behind the car.	A sedan was tuning a corner as walkers were crossing.	1	A Ford car is making a right turn as 3 males are walking across the street behind the car.	A sedan was turning a corner as walkers were crossing.	2	WordSwapRandomCharacterDeletion
41	A crowd of people looking up at 3 people on the edge of the roof of a building.	The crowd on the ground is watchng 3 peole on the roof's edge.	0	A crowd of people looking up at 3 people on the edge of the roof of a building.	The crowd on the ground is watching 3 people on the roof's edge.	1	WordSwapRandomCharacterDeletion
42	A person with a purple shirt is painting an image of a woman on a white wall.	A woman pains a portrait of a person.	1	A person with a purple shirt is painting an image of a woman on a white wall.	A woman paints a portrait of a person.	2	WordSwapRandomCharacterDeletion
43	The flight attendant dressed in yellow demonstrates life vest usage.	A wman is preparing drinks on an irplane.	2	The flight attendant dressed in yellow demonstrates life vest usage.	A woman is preparing drinks on an airplane.	0	WordSwapRandomCharacterDeletion
44	Six dogs swimming in a river.	Six dgs swim across the river.	1	Six dogs swimming in a river.	Six dogs swim across the river.	2	WordSwapRandomCharacterDeletion
45	A Ford car is making a right turn as 3 males are walking across the street behind the car.	A sedan was turning a cornUer as walkeArs were croshsing.	1	A Ford car is making a right turn as 3 males are walking across the street behind the car.	A sedan was turning a corner as walkers were crossing.	0	WordSwapRandomCharacterInsertion
46	A crowd of people looking up at 3 people on the edge of the roof of a building.	The crowd on the wground is watching 3 people on the roof's edge.	0	A crowd of people looking up at 3 people on the edge of the roof of a building.	The crowd on the ground is watching 3 people on the roof's edge.	1	WordSwapRandomCharacterInsertion
47	A person with a purple shirt is painting an image of a woman on a white wall.	A woman paints a poYrtrait of a person.	1	A person with a purple shirt is painting an image of a woman on a white wall.	A woman paints a portrait of a person.	0	WordSwapRandomCharacterInsertion
48	Six dogs swimming in a river.	Six dogs swim acroxss the river.	1	Six dogs swimming in a river.	Six dogs swim across the river.	2	WordSwapRandomCharacterInsertion
49	A Ford car is making a right turn as 3 males are walking across the street behind the car.	A seOan was turning a corner as walkers were crofsing.	1	A Ford car is making a right turn as 3 males are walking across the street behind the car.	A sedan was turning a corner as walkers were crossing.	0	WordSwapRandomCharacterSubstitution
50	A crowd of people looking up at 3 people on the edge of the roof of a building.	The crowd on the grounJ is watching 3 people on the roof's edge.	0	A crowd of people looking up at 3 people on the edge of the roof of a building.	The crowd on the ground is watching 3 people on the roof's edge.	1	WordSwapRandomCharacterSubstitution
51	A person with a purple shirt is painting an image of a woman on a white wall.	A woman paints a poAtrait of a person.	1	A person with a purple shirt is painting an image of a woman on a white wall.	A woman paints a portrait of a person.	0	WordSwapRandomCharacterSubstitution
52	The flight attendant dressed in yellow demonstrates life vest usage.	A womRn is preparing drinks on an airplane.	2	The flight attendant dressed in yellow demonstrates life vest usage.	A woman is preparing drinks on an airplane.	0	WordSwapRandomCharacterSubstitution
53	Six dogs swimming in a river.	Six dKgs swim across the river.	1	Six dogs swimming in a river.	Six dogs swim across the river.	2	WordSwapRandomCharacterSubstitution
54	Six dogs swimming in a river.	Six dogs sink across the river.	1	Six dogs swimming in a river.	Six dogs swim across the river.	0	WordSwapWordNetAntonym
55	A Ford car is making a right turn as 3 males are walking across the street behind the car.	A sedan was a as were.	1	A Ford car is making a right turn as 3 males are walking across the street behind the car.	A sedan was turning a corner as walkers were crossing.	0	WordDeletion
56	A crowd of people looking up at 3 people on the edge of the roof of a building.	The crowd on the is watching 3 people on the roof's edge.	0	A crowd of people looking up at 3 people on the edge of the roof of a building.	The crowd on the ground is watching 3 people on the roof's edge.	1	WordDeletion
57	A person with a purple shirt is painting an image of a woman on a white wall.	A woman paints a portrait of a.	1	A person with a purple shirt is painting an image of a woman on a white wall.	A woman paints a portrait of a person.	0	WordDeletion
58	The flight attendant dressed in yellow demonstrates life vest usage.	A woman is drinks on an airplane.	2	The flight attendant dressed in yellow demonstrates life vest usage.	A woman is preparing drinks on an airplane.	0	WordDeletion
59	Six dogs swimming in a river.	.	1	Six dogs swimming in a river.	Six dogs swim across the river.	2	WordDeletion
60	A Ford car is making a right walkers as 3 as are walking across the street behind the car.	A turn was turning a corner males sedan were crossing.	1	A Ford car is making a right turn as 3 males are walking across the street behind the car.	A sedan was turning a corner as walkers were crossing.	2	WordInnerSwapRandom
61	A crowd of people looking up at 3 people on the edge of the roof of a the.	The crowd on building ground is watching 3 people on the roof's edge.	0	A crowd of people looking up at 3 people on the edge of the roof of a building.	The crowd on the ground is watching 3 people on the roof's edge.	1	WordInnerSwapRandom
62	A person with a a shirt is painting an image of a woman on a white wall.	A woman paints purple portrait of a person.	1	A person with a purple shirt is painting an image of a woman on a white wall.	A woman paints a portrait of a person.	2	WordInnerSwapRandom
63	The flight A dressed in yellow demonstrates life vest usage.	attendant woman is preparing drinks on an airplane.	2	The flight attendant dressed in yellow demonstrates life vest usage.	A woman is preparing drinks on an airplane.	0	WordInnerSwapRandom
64	swim dogs swimming in a river.	Six dogs Six across the river.	1	Six dogs swimming in a river.	Six dogs swim across the river.	2	WordInnerSwapRandom
65	A Ford car is making a right turn as 3 males are walking across the street behind the car.	A bus was turning a corner as walkers were crossing.	1	A Ford car is making a right turn as 3 males are walking across the street behind the car.	A sedan was turning a corner as walkers were crossing.	0	WordSwapMaskedLM
66	A crowd of people looking up at 3 people on the edge of the roof of a building.	The crowd on the spot is watching 3 people on the roof's edge.	0	A crowd of people looking up at 3 people on the edge of the roof of a building.	The crowd on the ground is watching 3 people on the roof's edge.	1	WordSwapMaskedLM
67	A person with a purple shirt is painting an image of a woman on a white wall.	A woman paints a portrait of a man.	1	A person with a purple shirt is painting an image of a woman on a white wall.	A woman paints a portrait of a person.	0	WordSwapMaskedLM
68	The flight attendant dressed in yellow demonstrates life vest usage.	A waiter is preparing drinks on an airplane.	2	The flight attendant dressed in yellow demonstrates life vest usage.	A woman is preparing drinks on an airplane.	0	WordSwapMaskedLM
69	Six dogs swimming in a river.	Six sheep swim across the river.	1	Six dogs swimming in a river.	Six dogs swim across the river.	0	WordSwapMaskedLM
70	A Ford car is making a right turn as 3 males are walking across the street behind the car.	A sedan was turning a x as walkers were crossing.	1	A Ford car is making a right turn as 3 males are walking across the street behind the car.	A sedan was turning a corner as walkers were crossing.	0	WordSwapWordNetSynonyms
71	A crowd of people looking up at 3 people on the edge of the roof of a building.	The crowd on the f is watching 3 people on the roof's edge.	0	A crowd of people looking up at 3 people on the edge of the roof of a building.	The crowd on the ground is watching 3 people on the roof's edge.	1	WordSwapWordNetSynonyms
72	A person with a purple shirt is painting an image of a woman on a white wall.	A woman paints a l of a person.	1	A person with a purple shirt is painting an image of a woman on a white wall.	A woman paints a portrait of a person.	2	WordSwapWordNetSynonyms
73	The flight attendant dressed in yellow demonstrates life vest usage.	A l is preparing drinks on an airplane.	2	The flight attendant dressed in yellow demonstrates life vest usage.	A woman is preparing drinks on an airplane.	0	WordSwapWordNetSynonyms
74	Six dogs swimming in a river.	x dogs swim across the river.	1	Six dogs swimming in a river.	Six dogs swim across the river.	0	WordSwapWordNetSynonyms
75	A Ford car is making a right turn as 3 males are walking across the street behind the car.	A sedah was turning a corner as qalkers were crossing.	1	A Ford car is making a right turn as 3 males are walking across the street behind the car.	A sedan was turning a corner as walkers were crossing.	2	WordSwapQWERTY
76	A Ford car is making a right turn as 3 males are walking across the street behind the car.	A sedan was turning a corner as zombies were crossing.	1	A Ford car is making a right turn as 3 males are walking across the street behind the car.	A sedan was turning a corner as walkers were crossing.	0	WordSwapEmbedding
77	A crowd of people looking up at 3 people on the edge of the roof of a building.	The crowd on the overland is watching 3 people on the roof's edge.	0	A crowd of people looking up at 3 people on the edge of the roof of a building.	The crowd on the ground is watching 3 people on the roof's edge.	1	WordSwapEmbedding
78	A person with a purple shirt is painting an image of a woman on a white wall.	A wife paints a portrait of a person.	1	A person with a purple shirt is painting an image of a woman on a white wall.	A woman paints a portrait of a person.	2	WordSwapEmbedding
79	The flight attendant dressed in yellow demonstrates life vest usage.	A mujer is preparing drinks on an airplane.	2	The flight attendant dressed in yellow demonstrates life vest usage.	A woman is preparing drinks on an airplane.	0	WordSwapEmbedding
80	Six dogs swimming in a river.	Eight dogs swim across the river.	1	Six dogs swimming in a river.	Six dogs swim across the river.	0	WordSwapEmbedding
81	A Ford car is making a right turn as 3 males are walking across the street behind the car.	A sedan was turning left as walkers were crossing.	1	A Ford car is making a right turn as 3 males are walking across the street behind the car.	A sedan was turning a corner as walkers were crossing.	0	WordMergeMaskedLM
82	A crowd of people looking up at 3 people on the edge of the roof of a building.	The crowd on twitter is watching 3 people on the roof's edge.	0	A crowd of people looking up at 3 people on the edge of the roof of a building.	The crowd on the ground is watching 3 people on the roof's edge.	2	WordMergeMaskedLM
83	A person with a purple shirt is painting an image of a woman on a white wall.	A woman paints a portrait of men.	1	A person with a purple shirt is painting an image of a woman on a white wall.	A woman paints a portrait of a person.	0	WordMergeMaskedLM
84	The men dressed in yellow demonstrates life vest usage.	A woman is preparing drinks on an airplane.	2	The flight attendant dressed in yellow demonstrates life vest usage.	A woman is preparing drinks on an airplane.	0	WordMergeMaskedLM
85	Six dogs swimming in a river.	dolphins swim across the river.	1	Six dogs swimming in a river.	Six dogs swim across the river.	0	WordMergeMaskedLM
86	A Ford car is making a right turn as 3 males are walking across the street behind the car.	A sеdan was turning a corner as walkers were crossing.	1	A Ford car is making a right turn as 3 males are walking across the street behind the car.	A sedan was turning a corner as walkers were crossing.	0	WordSwapHomoglyphSwap
87	A crowd of people looking up at 3 people on the edge of the roof of a building.	The crowd on the groսnd is watching 3 people on the roof's edge.	0	A crowd of people looking up at 3 people on the edge of the roof of a building.	The crowd on the ground is watching 3 people on the roof's edge.	1	WordSwapHomoglyphSwap
88	A person with a purple shirt is painting an image of a woman on a white wall.	A woman paints a portrai𝚝 of a person.	1	A person with a purple shirt is painting an image of a woman on a white wall.	A woman paints a portrait of a person.	0	WordSwapHomoglyphSwap
89	The flight attendant dressed in yellow demonstrates life vest usage.	A woman is preparing drinks on an airpⅼane.	2	The flight attendant dressed in yellow demonstrates life vest usage.	A woman is preparing drinks on an airplane.	0	WordSwapHomoglyphSwap
90	Six dogs swimming in a river.	Six dogs swim across the riѵer.	1	Six dogs swimming in a river.	Six dogs swim across the river.	2	WordSwapHomoglyphSwap
91	A Ford car is making a right turn as 3 males are walking across the street behind the car.	A litter was turning a corner as walkers were crossing.	1	A Ford car is making a right turn as 3 males are walking across the street behind the car.	A sedan was turning a corner as walkers were crossing.	0	WordSwapHowNet
92	A crowd of people looking up at 3 people on the edge of the roof of a building.	The throng on the ground is watching 3 people on the roof's edge.	0	A crowd of people looking up at 3 people on the edge of the roof of a building.	The crowd on the ground is watching 3 people on the roof's edge.	1	WordSwapHowNet
93	The flight attendant dressed in yellow demonstrates life vest usage.	A woman is boiling drinks on an airplane.	2	The flight attendant dressed in yellow demonstrates life vest usage.	A woman is preparing drinks on an airplane.	0	WordSwapHowNet
94	Six dogs swimming in a river.	Six huskies swim across the river.	1	Six dogs swimming in a river.	Six dogs swim across the river.	2	WordSwapHowNet
95	A Ford car is making a right turn as 3 males are walking across the street behind the car.	A sedan was turning a tree as walkers were crossing.	1	A Ford car is making a right turn as 3 males are walking across the street behind the car.	A sedan was turning a corner as walkers were crossing.	0	WordSwapWordNet
96	A crowd of people looking up at 3 people on the edge of the roof of a building.	The crowd on the travail is watching 3 people on the roof's edge.	0	A crowd of people looking up at 3 people on the edge of the roof of a building.	The crowd on the ground is watching 3 people on the roof's edge.	1	WordSwapWordNet
97	A person with a purple shirt is painting an image of a woman on a white wall.	A woman blusher a portrait of a person.	1	A person with a purple shirt is painting an image of a woman on a white wall.	A woman paints a portrait of a person.	0	WordSwapWordNet
98	The flight attendant dressed in yellow demonstrates life vest usage.	A woman is cook drinks on an airplane.	2	The flight attendant dressed in yellow demonstrates life vest usage.	A woman is preparing drinks on an airplane.	0	WordSwapWordNet
99	Six dogs swimming in a river.	Six dogs drown across the river.	1	Six dogs swimming in a river.	Six dogs swim across the river.	0	WordSwapWordNet
100	A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	A young boy is playing in a field.	0	A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	A young boy is playing in a feild.	1	WordSwapNeighboringCharacterSwap
101	This child is on the library steps.	The child is on the steps isnide the library.	1	This child is on the library steps.	The child is on the steps inside the library.	0	WordSwapNeighboringCharacterSwap
102	a boy in a red hooded top is smiling whilst looking away from his reflection.	The boy doesn't want to see his refleciton.	1	a boy in a red hooded top is smiling whilst looking away from his reflection.	The boy doesn't want to see his reflection.	2	WordSwapNeighboringCharacterSwap
103	A group of people gathered at night watching an event.	A group of hmuans are looking at the same direciton.	1	A group of people gathered at night watching an event.	A group of humans are looking at the same direction.	2	WordSwapNeighboringCharacterSwap
104	A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	A young oy is playing in a feild.	0	A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	A young boy is playing in a feild.	2	WordSwapRandomCharacterDeletion
105	This child is on the library steps.	The child is on the steps inside the libary.	1	This child is on the library steps.	The child is on the steps inside the library.	0	WordSwapRandomCharacterDeletion
106	a boy in a red hooded top is smiling whilst looking away from his reflection.	The oy doesn't want to see his reflection.	1	a boy in a red hooded top is smiling whilst looking away from his reflection.	The boy doesn't want to see his reflection.	2	WordSwapRandomCharacterDeletion
107	A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	A young bkoy is playing in a feild.	0	A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	A young boy is playing in a feild.	1	WordSwapRandomCharacterInsertion
108	This child is on the library steps.	The child is on the Msteps Cinside the library.	1	This child is on the library steps.	The child is on the steps inside the library.	0	WordSwapRandomCharacterInsertion
109	a boy in a red hooded top is smiling whilst looking away from his reflection.	The boy doesn't want to seue his reflection.	1	a boy in a red hooded top is smiling whilst looking away from his reflection.	The boy doesn't want to see his reflection.	2	WordSwapRandomCharacterInsertion
110	A group of people gathered at night watching an event.	A group of hHumans are looking at the same direction.	1	A group of people gathered at night watching an event.	A group of humans are looking at the same direction.	0	WordSwapRandomCharacterInsertion
111	A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	A young bqy is playing in a feild.	0	A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	A young boy is playing in a feild.	2	WordSwapRandomCharacterSubstitution
112	This child is on the library steps.	The child is on the steps inside the librarI.	1	This child is on the library steps.	The child is on the steps inside the library.	0	WordSwapRandomCharacterSubstitution
113	a boy in a red hooded top is smiling whilst looking away from his reflection.	The boy doesn't want to see his refWection.	1	a boy in a red hooded top is smiling whilst looking away from his reflection.	The boy doesn't want to see his reflection.	2	WordSwapRandomCharacterSubstitution
114	A group of people gathered at night watching an event.	A group of fumans are looking at the same direGtion.	1	A group of people gathered at night watching an event.	A group of humans are looking at the same direction.	2	WordSwapRandomCharacterSubstitution
115	This child is on the library steps.	The parent is on the steps inside the library.	1	This child is on the library steps.	The child is on the steps inside the library.	2	WordSwapWordNetAntonym
116	a boy in a red hooded top is smiling whilst looking away from his reflection.	The daughter doesn't want to see his reflection.	1	a boy in a red hooded top is smiling whilst looking away from his reflection.	The boy doesn't want to see his reflection.	0	WordSwapWordNetAntonym
117	A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	A young boy is playing a feild.	0	A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	A young boy is playing in a feild.	2	WordDeletion
118	This child is on the library steps.	The child is the the library.	1	This child is on the library steps.	The child is on the steps inside the library.	2	WordDeletion
119	a boy in a red hooded top is smiling whilst looking away from his reflection.	The boy want to see his reflection.	1	a boy in a red hooded top is smiling whilst looking away from his reflection.	The boy doesn't want to see his reflection.	0	WordDeletion
120	A group of people gathered at night watching an event.	A group of are at the direction.	1	A group of people gathered at night watching an event.	A group of humans are looking at the same direction.	2	WordDeletion
121	A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	A in boy is playing young a feild.	0	A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	A young boy is playing in a feild.	2	WordInnerSwapRandom
122	This child is on the library The.	steps child is on the steps inside the library.	1	This child is on the library steps.	The child is on the steps inside the library.	2	WordInnerSwapRandom
123	a boy in a red hooded top is smiling whilst looking The from his reflection.	away boy doesn't want to see his reflection.	1	a boy in a red hooded top is smiling whilst looking away from his reflection.	The boy doesn't want to see his reflection.	0	WordInnerSwapRandom
124	A group of people gathered at of watching an event.	A at night humans are looking group the same direction.	1	A group of people gathered at night watching an event.	A group of humans are looking at the same direction.	2	WordInnerSwapRandom
125	A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	A young boy is playing in a feit.	0	A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	A young boy is playing in a feild.	2	WordSwapMaskedLM
126	This child is on the library steps.	The child is on the steps inside the supermarket.	1	This child is on the library steps.	The child is on the steps inside the library.	0	WordSwapMaskedLM
127	a boy in a red hooded top is smiling whilst looking away from his reflection.	The leader doesn't want to see his reflection.	1	a boy in a red hooded top is smiling whilst looking away from his reflection.	The boy doesn't want to see his reflection.	2	WordSwapMaskedLM
128	A group of people gathered at night watching an event.	A group of wolves are looking at the same direction.	1	A group of people gathered at night watching an event.	A group of humans are looking at the same direction.	0	WordSwapMaskedLM
129	A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	A young n is playing in a feild.	0	A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	A young boy is playing in a feild.	1	WordSwapWordNetSynonyms
130	This child is on the library steps.	The l is on the steps inside the library.	1	This child is on the library steps.	The child is on the steps inside the library.	0	WordSwapWordNetSynonyms
131	a boy in a red hooded top is smiling whilst looking away from his reflection.	The boy doesn't want to see his x.	1	a boy in a red hooded top is smiling whilst looking away from his reflection.	The boy doesn't want to see his reflection.	2	WordSwapWordNetSynonyms
132	A group of people gathered at night watching an event.	A group of i are looking at the same u.	1	A group of people gathered at night watching an event.	A group of humans are looking at the same direction.	0	WordSwapWordNetSynonyms
133	A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	A young boy is playing in a fwild.	0	A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	A young boy is playing in a feild.	1	WordSwapQWERTY
134	This child is on the library steps.	The child is on the steps inside the librady.	1	This child is on the library steps.	The child is on the steps inside the library.	0	WordSwapQWERTY
135	a boy in a red hooded top is smiling whilst looking away from his reflection.	The boy doesn't want to xee his reflection.	1	a boy in a red hooded top is smiling whilst looking away from his reflection.	The boy doesn't want to see his reflection.	2	WordSwapQWERTY
136	A group of people gathered at night watching an event.	A group of humxns are looking at the same direction.	1	A group of people gathered at night watching an event.	A group of humans are looking at the same direction.	0	WordSwapQWERTY
137	A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	A young buddy is playing in a feild.	0	A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	A young boy is playing in a feild.	2	WordSwapEmbedding
138	This child is on the library steps.	The child is on the steps inside the bookstores.	1	This child is on the library steps.	The child is on the steps inside the library.	0	WordSwapEmbedding
139	a boy in a red hooded top is smiling whilst looking away from his reflection.	The barman doesn't want to see his reflection.	1	a boy in a red hooded top is smiling whilst looking away from his reflection.	The boy doesn't want to see his reflection.	2	WordSwapEmbedding
140	A group of people gathered at night watching an event.	A group of hombres are looking at the same direction.	1	A group of people gathered at night watching an event.	A group of humans are looking at the same direction.	2	WordSwapEmbedding
141	A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	A young boy is playing in action.	0	A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	A young boy is playing in a feild.	1	WordMergeMaskedLM
142	This child is on the beach.	The child is on the steps inside the library.	1	This child is on the library steps.	The child is on the steps inside the library.	0	WordMergeMaskedLM
143	a boy in a red hooded top is smiling whilst looking away from his reflection.	The brothers want to see his reflection.	1	a boy in a red hooded top is smiling whilst looking away from his reflection.	The boy doesn't want to see his reflection.	2	WordMergeMaskedLM
144	A group of people gathered at night watching an event.	A group of humans ran at the same direction.	1	A group of people gathered at night watching an event.	A group of humans are looking at the same direction.	0	WordMergeMaskedLM
145	A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	A young boy is playing in a fеild.	0	A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	A young boy is playing in a feild.	1	WordSwapHomoglyphSwap
