	Pertubed_Text	label	Original_Text	True_label	Perturbed_label	attack
10	Group to Propose New  LOS ANGELES () - A group of technology companies  including Texas Instruments Inc. &lt;TXN.N&gt;,  &lt;STM.PA&gt; and Broadcom Corp. &lt;.O&;, on Thursday said they  will propose a new up to 10 times  the speed of the current generation.	2	Group to Propose New High-Speed Wireless Format  LOS ANGELES (Reuters) - A group of technology companies  including Texas Instruments Inc. &lt;TXN.N&gt;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &lt;BRCM.O&gt;, on Thursday said they  will propose a new wireless networking standard up to 10 times  the speed of the current generation.	3	2	uknown
11	Launches,  LOS ANGELES () -.&;.O&; on  Tuesday a program users  create real-time motion  video-editing software  Pro software.	2	Apple Launches Graphics Software, Video Bundle  LOS ANGELES (Reuters) - Apple Computer Inc.&lt;AAPL.O&gt; on  Tuesday began shipping a new program designed to let users  create real-time motion graphics and unveiled a discount  video-editing software bundle featuring its flagship Final Cut  Pro software.	3	2	uknown
12	Dutch Retailer to Local Market  AMSTERDAM (Reuters) - Free Record Shop, a Dutch music  retail chain, beat Inc. to market on Tuesday  with the launch of a new service in Europe's latest  battleground for song services.	2	Dutch Retailer Beats Apple to Local Download Market  AMSTERDAM (Reuters) - Free Record Shop, a Dutch music  retail chain, beat Apple Computer Inc. to market on Tuesday  with the launch of a new download service in Europe's latest  battleground for digital song services.	3	2	uknown
13	ant colony hits A 100km of ants  which has been,, could threaten local insect species.	0	Super ant colony hits Australia A giant 100km colony of ants  which has been discovered in Melbourne, Australia, could threaten local insect species.	3	0	uknown
14	", """",, claim."	2	"Socialites unite dolphin groups Dolphin groups, or ""pods"", rely on socialites to keep them from collapsing, scientists claim."	3	2	uknown
15	T. rex's monster to its years.	0	Teenage T. rex's monster growth Tyrannosaurus rex achieved its massive size due to an enormous growth spurt during its adolescent years.	3	0	uknown
16	Scientists Discover Ganymede has a Lumpy Interior -- irregular lumps beneath the icy of Jupiter's largest moon, Ganymede. These masses be rock formations, supported by icy billions of years...	0	Scientists Discover Ganymede has a Lumpy Interior Jet Propulsion Lab -- Scientists have discovered irregular lumps beneath the icy surface of Jupiter's largest moon, Ganymede. These irregular masses may be rock formations, supported by Ganymede's icy shell for billions of years...	3	0	uknown
17	Mars Rovers Relay Images Through Mars Express European Space -- Mars Express has relayed pictures from one of NASA's Mars rovers for the first, as of a set of networking demonstrations.     demonstrations way for Mars missions to draw on joint interplanetary networking capabilities...	2	Mars Rovers Relay Images Through Mars Express European Space Agency -- ESAs Mars Express has relayed pictures from one of NASA's Mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     The demonstrations pave the way for future Mars missions to draw on joint interplanetary networking capabilities...	3	2	uknown
18	Rocking the Cradle of When? One evidential clue from the fossil records in Western, these sediments biological or chemical has spawned a. researcher, Nicola, of issues.	1	Rocking the Cradle of Life When did life begin? One evidential clue stems from the fossil records in Western Australia, although whether these layered sediments are biological or chemical has spawned a spirited debate. Oxford researcher, Nicola McLoughlin, describes some of the issues in contention.	3	1	uknown
19	Storage, bruise update Earnings per rise compared with a year ago, but company expectations by a long shot.	2	Storage, servers bruise HP earnings update Earnings per share rise compared with a year ago, but company misses analysts' expectations by a long shot.	3	2	uknown
20	IBM to hire even more new workers By the end of the year, the computing giant to have its biggest headcount since 1991.	2	IBM to hire even more new workers By the end of the year, the computing giant plans to have its biggest headcount since 1991.	3	2	uknown
21	Sun's Looking Glass Provides 3D Developers get early code for new operating system '.	0	Sun's Looking Glass Provides 3D View Developers get early code for new operating system 'skin' still being crafted.	3	0	uknown
22	May Someday Heal Themselves New technology applies to help and repair.	0	IBM Chips May Someday Heal Themselves New technology applies electrical fuses to help identify and repair faults.	3	0	uknown
23	Rivals Try to Turn Tables on Charles Schwab MICHAEL LIEDTKE     SAN FRANCISCO (AP) -- With its low prices and iconoclastic attitude, discount stock broker Charles Schwab Corp. (SCH) represented an annoying stone in Wall Street's wing-tipped shoes for decades...	2	Rivals Try to Turn Tables on Charles Schwab By MICHAEL LIEDTKE     SAN FRANCISCO (AP) -- With its low prices and iconoclastic attitude, discount stock broker Charles Schwab Corp. (SCH) represented an annoying stone in Wall Street's wing-tipped shoes for decades...	3	2	uknown
24	Phelps Touches Gold for First Time Michael Phelps won the gold medal in the 400 individual medley and set a world record in a time of 4 minutes 8.26 seconds.	0	Giddy Phelps Touches Gold for First Time Michael Phelps won the gold medal in the 400 individual medley and set a world record in a time of 4 minutes 8.26 seconds.	1	0	uknown
25	rules soften Law's -- his body, with huge and an ounce of fat, easy to, arguably in, over. that he's a component, he shut down of much ...	0	Tougher rules won't soften Law's game FOXBOROUGH -- Looking at his ridiculously developed upper body, with huge biceps and hardly an ounce of fat, it's easy to see why Ty Law, arguably the best cornerback in football, chooses physical play over finesse. That's not to imply that he's lacking a finesse component, because he can shut down his side of the field much as Deion Sanders ...	1	0	uknown
26	Shoppach doesn't appear ready to hit the next level With weeks enters free agency, Red Sox continue to carefully Kelly Shoppach , their catcher of the, in his climb toward the majors. The Sox like most of what they have seen at Triple A Pawtucket from Shoppach, though it remains highly uncertain whether he can make the adjustments at the plate ...	0	Shoppach doesn't appear ready to hit the next level With the weeks dwindling until Jason Varitek enters free agency, the Red Sox continue to carefully monitor Kelly Shoppach , their catcher of the future, in his climb toward the majors. The Sox like most of what they have seen at Triple A Pawtucket from Shoppach, though it remains highly uncertain whether he can make the adjustments at the plate ...	1	0	uknown
27	makes David do good. spent his baby,, who. had Fenway,.,, ...	2	Mighty Ortiz makes sure Sox can rest easy Just imagine what David Ortiz could do on a good night's rest. Ortiz spent the night before last with his baby boy, D'Angelo, who is barely 1 month old. He had planned on attending the Red Sox' Family Day at Fenway Park yesterday morning, but he had to sleep in. After all, Ortiz had a son at home, and he ...	1	2	uknown
28	They've caught his ;,;,,, and make Bill decision do.	2	They've caught his eye In  quot;helping themselves, quot; Ricky Bryant, Chas Gessner, Michael Jennings, and David Patten did nothing Friday night to make Bill Belichick's decision on what to do with his receivers any easier.	1	2	uknown
29	Charge one the AL by beating, 7-1, home runs Hafner Victor.	0	Indians Mount Charge The Cleveland Indians pulled within one game of the AL Central lead by beating the Minnesota Twins, 7-1, Saturday night with home runs by Travis Hafner and Victor Martinez.	1	0	uknown
30	Sister of man who died in Vancouver police custody slams ( Press) - VANCOUVER (CP) - The sister of a man who died after a violent confrontation with police has demanded the city's chief constable resign for defending the officer involved.	3	Sister of man who died in Vancouver police custody slams chief (Canadian Press) Canadian Press - VANCOUVER (CP) - The sister of a man who died after a violent confrontation with police has demanded the city's chief constable resign for defending the officer involved.	0	3	uknown
31	Man Sought  #36;50M From McGreevey, Aides Say () - The man who claims Gov. James E. McGreevey sexually harassed him was pushing for a cash settlement of up to  #36;50 million before the governor decided to announce that he was gay and had an extramarital affair, sources told The Associated Press.	2	Man Sought  #36;50M From McGreevey, Aides Say (AP) AP - The man who claims Gov. James E. McGreevey sexually harassed him was pushing for a cash settlement of up to  #36;50 million before the governor decided to announce that he was gay and had an extramarital affair, sources told The Associated Press.	0	2	uknown
32	Echo Throughout, - and rattled through the city of as U.S. in vehicles and tanks rolled back into the streets here Sunday, a day after the collapse of - and with them a temporary cease-fire - intended the this...	1	Explosions Echo Throughout Najaf NAJAF, Iraq - Explosions and gunfire rattled through the city of Najaf as U.S. troops in armored vehicles and tanks rolled back into the streets here Sunday, a day after the collapse of talks - and with them a temporary cease-fire - intended to end the fighting in this holy city...	0	1	uknown
33	"Frail Celebrates Mass, - A Pope John Paul II, breathing heavily and at times, celebrated an open-air Mass on Sunday for several hundred thousand, many in wheelchairs, a to the Mary that is associated with miraculous cures.    point said """" while through his homily in..."	1	"Frail Pope Celebrates Mass at Lourdes LOURDES, France - A frail Pope John Paul II, breathing heavily and gasping at times, celebrated an open-air Mass on Sunday for several hundred thousand pilgrims, many in wheelchairs, at a shrine to the Virgin Mary that is associated with miraculous cures.    At one point he said ""help me"" in Polish while struggling through his homily in French..."	0	1	uknown
34	Venezuela Prepares for Chavez Recall Supporters and rivals warn of possible fraud; government says Chavez's defeat could produce turmoil in world oil market.	2	Venezuela Prepares for Chavez Recall Vote Supporters and rivals warn of possible fraud; government says Chavez's defeat could produce turmoil in world oil market.	0	2	uknown
35	1994 Law Designed to Preserve Guard Jobs () - A 1994 law strengthened job protections for National Guard and Reserve troops called to active duty. Here are major provisions of the Uniformed Services Employment and Reemployment Rights Act (USERRA).	2	1994 Law Designed to Preserve Guard Jobs (AP) AP - A 1994 law strengthened job protections for National Guard and Reserve troops called to active duty. Here are major provisions of the Uniformed Services Employment and Reemployment Rights Act (USERRA).	0	2	uknown
36	Can Anywhere in  () - A senior official  and the United States would not dare attack  it could strike back anywhere in with its latest , reported.	3	Iran Warns Its Missiles Can Hit Anywhere in Israel  TEHRAN (Reuters) - A senior Iranian military official said  Sunday Israel and the United States would not dare attack Iran  since it could strike back anywhere in Israel with its latest  missiles, news agencies reported.	0	3	uknown
37	Dispatched to Calm Violence, - intervened in latest outbreak of fighting between, flying from the capital to the far west on U.S. and airplanes to retake an air contested in the, officials Sunday...	1	Afghan Army Dispatched to Calm Violence KABUL, Afghanistan - Government troops intervened in Afghanistan's latest outbreak of deadly fighting between warlords, flying from the capital to the far west on U.S. and NATO airplanes to retake an air base contested in the violence, officials said Sunday...	0	1	uknown
38	() - into a,.	3	Johnson Helps D-Backs End Nine-Game Slide (AP) AP - Randy Johnson took a four-hitter into the ninth inning to help the Arizona Diamondbacks end a nine-game losing streak Sunday, beating Steve Trachsel and the New York Mets 2-0.	1	3	uknown
39	Vie for Back-To-School (Reuters) Reuters - are hoping their\back-to-school fashions will make the grade among\style-conscious teens and young adults this fall, but it could\be a tough sell, with students and parents keeping a tighter\hold on their wallets.	0	Retailers Vie for Back-To-School Buyers (Reuters) Reuters - Apparel retailers are hoping their\back-to-school fashions will make the grade among\style-conscious teens and young adults this fall, but it could\be a tough sell, with students and parents keeping a tighter\hold on their wallets.	2	0	uknown
40	Politics an Afterthought Amid Hurricane (AP) - If Hurricane Charley had struck three years ago, President tour through the wreckage of this coastal city would have been just the sort of post-disaster visit that other presidents have made to the scenes of storms, earthquakes, floods and fires.	2	Politics an Afterthought Amid Hurricane (AP) AP - If Hurricane Charley had struck three years ago, President Bush's tour through the wreckage of this coastal city would have been just the sort of post-disaster visit that other presidents have made to the scenes of storms, earthquakes, floods and fires.	0	2	uknown
41	Spam suspension.com shares (FT.) FT. - Shares in Sohu.com, a leading Chinese internet, fell more than cent on Friday network a on messaging because of customers sent.	0	Spam suspension hits Sohu.com shares (FT.com) FT.com - Shares in Sohu.com, a leading US-listed Chinese internet portal, fell more than 10 per cent on Friday after China's biggest mobile phone network operator imposed a one-year suspension on its multimedia messaging services because of customers being sent spam.	3	0	uknown
42	() - in the run in, the a victory..	3	Erstad's Double Lifts Angels to Win (AP) AP - Darin Erstad doubled in the go-ahead run in the eighth inning, lifting the Anaheim Angels to a 3-2 victory over the Detroit Tigers on Sunday. The win pulled Anaheim within a percentage point of Boston and Texas in the AL wild-card race.	1	3	uknown
43	of After (AP) AP -.. the. night sore.	3	Drew Out of Braves' Lineup After Injury (AP) AP - Outfielder J.D. Drew missed the Atlanta Braves' game against the St. Louis Cardinals on Sunday night with a sore right quadriceps.	1	3	uknown
44	Venezuelans Polls, Voting Extended , Venezuela () - in huge  numbers on Sunday in a referendum on whether to recall  left-wing President Hugo Chavez and authorities  prolonged voting well into the night.	2	Venezuelans Flood Polls, Voting Extended  CARACAS, Venezuela (Reuters) - Venezuelans voted in huge  numbers on Sunday in a historic referendum on whether to recall  left-wing President Hugo Chavez and electoral authorities  prolonged voting well into the night.	0	2	uknown
45	Dell Exits China Consumer PC Market  HONG KONG (Reuters) - Dell Inc. &lt;DELL.O&gt;, the world's  largest PC maker, said on Monday it has left the low-end  consumer PC market in China and cut its overall growth target  for the country this year due to stiff competition in the  segment.	2	Dell Exits Low-End China Consumer PC Market  HONG KONG (Reuters) - Dell Inc. &lt;DELL.O&gt;, the world's  largest PC maker, said on Monday it has left the low-end  consumer PC market in China and cut its overall growth target  for the country this year due to stiff competition in the  segment.	3	2	uknown
46	Also Operated in U.S. - Media  () - on Monday accused a  arrested for for of building an  espionage network in the United States, and said he could go on  trial very soon.	3	China Says Taiwan Spy Also Operated in U.S. - Media  BEIJING (Reuters) - Beijing on Monday accused a  Chinese-American arrested for spying for Taiwan of building an  espionage network in the United States, and said he could go on  trial very soon.	0	3	uknown
47	Another Major Another major, another disappointment for Tiger Woods, the No. 1 ranked player in the world who has not won a major championship since his triumph at the 2002 U.S..	0	Another Major Non-Factor Another major, another disappointment for Tiger Woods, the No. 1 ranked player in the world who has not won a major championship since his triumph at the 2002 U.S. Open.	1	0	uknown
48	US fighter squadron to be in South Korea next month (AFP) - A squadron of US Air Force F-15E fighters based in Alaska will fly to South Korea next month for temporary deployment aimed at enhancing US firepower on the Korean peninsula, US authorities said.	2	US fighter squadron to be deployed in South Korea next month (AFP) AFP - A squadron of US Air Force F-15E fighters based in Alaska will fly to South Korea next month for temporary deployment aimed at enhancing US firepower on the Korean peninsula, US authorities said.	0	2	uknown
49	Back to End  NEW YORK (Reuters) - struck 14  8 1/ help the end a  with a New York  National.	2	Johnson Back to His Best as D-Backs End Streak  NEW YORK (Reuters) - Randy Johnson struck out 14 batters in  8 1/3 innings to help the Arizona Diamondbacks end a nine-game  losing streak with a 2-0 win over the host New York Mets in the  National League Sunday.	1	2	uknown
50	Restive eases curfew after rounding up () - A in the of the was eased but sessions were put off indefinitely and emergency rule continued following last week's, officials and said.	1	Restive Maldives eases curfew after rounding up dissidents (AFP) AFP - A curfew in the capital of the Maldives was eased but parliament sessions were put off indefinitely and emergency rule continued following last week's riots, officials and residents said.	0	1	uknown
51	Vodafone hires Citi for Cesky bid (TheDeal.com). - The U.K. mobile giant wants to find a way to disentagle the Czech wireless and fixed-line businesses.	2	Vodafone hires Citi for Cesky bid (TheDeal.com) TheDeal.com - The U.K. mobile giant wants to find a way to disentagle the Czech wireless and fixed-line businesses.	3	2	uknown
52	Dollar Briefly Hits Low Vs  () - dollar to four-week low  against euro on Monday before rising slightly on , steep prices and weak..  continued to fan worries about the health the world's  largest economy.	0	Dollar Briefly Hits 4-Wk Low Vs Euro  LONDON (Reuters) - The dollar dipped to a four-week low  against the euro on Monday before rising slightly on  profit-taking, but steep oil prices and weak U.S. data  continued to fan worries about the health of the world's  largest economy.	2	0	uknown
53	India's Tata expands regional footprint via NatSteel buyout (AFP) - India's Tata Iron and Steel Company Ltd. took a strategic step to expand its Asian footprint with the announcement it will buy the Asia-Pacific steel operations of Singapore's NatSteel Ltd.	2	India's Tata expands regional footprint via NatSteel buyout (AFP) AFP - India's Tata Iron and Steel Company Ltd. took a strategic step to expand its Asian footprint with the announcement it will buy the Asia-Pacific steel operations of Singapore's NatSteel Ltd.	0	2	uknown
54	Urge to of, - at Conference called radical to his U.S. and and pull his of a holy in...	1	Delegates Urge Cleric to Pull Out of Najaf BAGHDAD, Iraq - Delegates at Iraq's National Conference called on radical Shiite cleric Muqtada al-Sadr to abandon his uprising against U.S. and Iraqi troops and pull his fighters out of a holy shrine in Najaf...	0	1	uknown
55	 () -.S. , though .	3	Treasuries Slip as Stocks Rally  NEW YORK (Reuters) - U.S. Treasury debt prices slipped on  Monday, though traders characterized the move as profit-taking  rather than any fundamental change in sentiment.	2	3	uknown
56	Dollar Rises Euro on  NEW () - dollar extended against the  euro on Monday after a.. showed  a rise to the current  account for month.	0	Dollar Rises Vs Euro on Asset Flows Data  NEW YORK (Reuters) - The dollar extended gains against the  euro on Monday after a report on flows into U.S. assets showed  enough of a rise in foreign investments to offset the current  account gap for the month.	2	0	uknown
57	Adds, to Ryder  ( Network) -.. Ryder   captain's.	2	Sutton Adds Haas, Cink to Ryder Cup Team  MILWAUKEE (Sports Network) - U.S. Ryder Cup captain Hal  Sutton finalized his team on Monday when he announced the  selections of Jay Haas and Stewart Cink as his captain's picks.	1	2	uknown
58	Haas and Cink for Cup Cink captain's a.S. to regain the cup.	0	Haas and Cink Selected for Ryder Cup Team Jay Haas joined Stewart Cink as the two captain's picks for a U.S. team that will try to regain the cup from Europe next month.	1	0	uknown
59	Natalie Wins () - Natalie., to swim, 1 minute,..,,:.. France:..	0	Natalie Coughlin Wins 100M Backstroke (AP) AP - American Natalie Coughlin won Olympic gold in the 100-meter backstroke Monday night. Coughlin, the only woman ever to swim under 1 minute in the event, finished first in 1 minute, 0.37 seconds. Kirsty Coventry of Zimbabwe, who swims at Auburn University in Alabama, earned the silver in 1:00.50. Laure Manaudou of France took bronze in 1:00.88.	1	0	uknown
60	for CRM () - (Nasdaq:) revamped its CRM applications 11i. its sales, marketing, management and e-commerce application.	2	Oracle Overhauls Sales-Side Apps for CRM Suite (NewsFactor) NewsFactor - Oracle (Nasdaq: ORCL) has revamped its sales-side CRM applications in version 11i.10 of its sales, marketing, partner relationship management and e-commerce application.	3	2	uknown
61	"launches appeal for () - The United launched an appeal here for 210 million dollars to help flood ""grave"" shortages after two-thirds of, destroying crops and killing more than 700 people."	2	"UN launches 210-million-dollar appeal for flood-hit Bangladesh (AFP) AFP - The United Nations launched an appeal here for 210 million dollars to help flood victims facing ""grave"" food shortages after two-thirds of Bangladesh was submerged, destroying crops and killing more than 700 people."	0	2	uknown
62	Indian state rolls out wireless Government in South Indian state of Kerala sets up wireless kiosks part initiative to divide.	2	Indian state rolls out wireless broadband Government in South Indian state of Kerala sets up wireless kiosks as part of initiative to bridge digital divide.	3	2	uknown
63	Hurricane Survivors Wait for, Gas PUNTA GORDA,. - rescue teams, insurance and National Guard troops scattered across Florida to help of Hurricane and deliver water and of...	2	Hurricane Survivors Wait for Water, Gas PUNTA GORDA, Fla. - Urban rescue teams, insurance adjusters and National Guard troops scattered across Florida Monday to help victims of Hurricane Charley and deliver water and other supplies to thousands of people left homeless...	0	2	uknown
64	Jackson Off With Prosecutor,. - Fans Jackson erupted in cheers Monday as the star emerged from a double-decker tour bus and went into court for a showdown with the prosecutor who has pursued him for years on child molestation charges...	1	Jackson Squares Off With Prosecutor SANTA MARIA, Calif. - Fans of Michael Jackson erupted in cheers Monday as the pop star emerged from a double-decker tour bus and went into court for a showdown with the prosecutor who has pursued him for years on child molestation charges...	0	1	uknown
65	Suspect charged in abduction, sexual assault of 11-year-old girl (Canadian) - LANGLEY, B.C. (CP) - Police have arrested a man in the kidnapping and sexual assault of an 11-year-old girl that frightened this suburban Vancouver community last week.	3	Suspect charged in abduction, sexual assault of 11-year-old girl (Canadian Press) Canadian Press - LANGLEY, B.C. (CP) - Police have arrested a man in the kidnapping and sexual assault of an 11-year-old girl that frightened this suburban Vancouver community last week.	0	3	uknown
66	China's Red Flag Linux to on enterprise Red Flag Software., the company China's leading Linux distribution, to focus its operating system and,.	2	China's Red Flag Linux to focus on enterprise Red Flag Software Co., the company behind China's leading Linux client distribution, plans to focus more on its server operating system and enterprise customers, the company's acting president said.	3	2	uknown
67	Spies Two () -, agency said.	0	Cassini Spies Two Little Saturn Moons (AP) AP - NASA's Cassini spacecraft has spied two new little moons around satellite-rich Saturn, the space agency said Monday.	3	0	uknown
68	line of AIDS in northwest as broader population.	2	On front line of AIDS in Russia An industrial city northwest of Moscow struggles as AIDS hits a broader population.	0	2	uknown
69	Nobel Laureate Decries Stem Cell Limits () - A Nobel laureate in medicine said Monday the administration's limits on funding for stem cell research effectively have stopped the clock on American scientists' to develop treatments for a host of chronic, debilitating diseases.	0	Nobel Laureate Decries Stem Cell Limits (AP) AP - A Nobel laureate in medicine said Monday the Bush administration's limits on funding for embryonic stem cell research effectively have stopped the clock on American scientists' efforts to develop treatments for a host of chronic, debilitating diseases.	3	0	uknown
70	of Life (AP) AP - Prosecutors the case, to star's lawyers jurors sex.	0	Jury Can Hear of Kobe Accuser's Sex Life (AP) AP - Prosecutors suffered another setback Monday in the Kobe Bryant sexual assault case, losing a last-ditch attempt to keep the NBA star's lawyers from telling jurors about the alleged victim's sex life.	1	0	uknown
71	Still On, China Tells Downer () Reuters - China has said no date has been set for\working-level talks on the North nuclear and\ meeting has,\ Alexander on.	3	North Korea Talks Still On, China Tells Downer (Reuters) Reuters - China has said no date has been set for\working-level talks on the North Korean nuclear crisis and gave\no indication that the meeting has been canceled, Australian\Foreign Minister Alexander Downer said on Tuesday.	0	3	uknown
72	expect 300-pound, who -.	0	Griffin to Anchor D-Line The Redskins expect huge things from 300-pound Cornelius Griffin, who was signed to aid the team's weakest unit - the defensive line.	1	0	uknown
73	Last in North Korea to tell story () - The last surviving to North Korea wants to tell story to a human the which he is vilified, film-makers said.	3	Last American defector in North Korea agrees to tell story (AFP) AFP - The last surviving American defector to communist North Korea wants to tell his story to put a human face on the Stalinist state which he believes is unfairly vilified abroad, British film-makers said.	0	3	uknown
74	: Olympics day four Richard Faulds and Stephen Parry are going for gold for Great Britain on day four in Athens.	1	Live: Olympics day four Richard Faulds and Stephen Parry are going for gold for Great Britain on day four in Athens.	0	1	uknown
75	Widens Lead in California, Poll Finds (Reuters) - Democratic challenger John\has a commanding lead over President Bush in California of 54\percent to 38 percent among likely voters, a poll released on\Tuesday found.	2	Kerry Widens Lead in California, Poll Finds (Reuters) Reuters - Democratic challenger John Kerry\has a commanding lead over President Bush in California of 54\percent to 38 percent among likely voters, a poll released on\Tuesday found.	0	2	uknown
76	Crowds at Volleyball Rock the  () - At the beach, the 2004  Olympics is a, foot-stomping.	0	Capacity Crowds at Beach Volleyball Rock the Joint  ATHENS (Reuters) - At the beach volleyball, the 2004  Olympics is a sell-out, foot-stomping success.	1	0	uknown
77	Dollar Near Recent Lows, Awaits ZEW/  LONDON () - dollar held near week's  four-week low against with  awaiting German and.S.  inflation numbers.	0	Dollar Near Recent Lows, Awaits ZEW/CPI  LONDON (Reuters) - The dollar held steady near this week's  four-week low against the euro on Tuesday with investors  awaiting a German investor confidence survey and U.S. consumer  inflation numbers to shed light on the direction.	2	0	uknown
78	Venezuela vote keeps Chavez president CARACAS -- Venezuelans voted resoundingly to keep firebrand populist Hugo as in a victory that drew noisy reactions yesterday from both sides in the. International observers certified the results as clean and accurate.	2	Venezuela vote keeps Chavez as president CARACAS -- Venezuelans voted resoundingly to keep firebrand populist Hugo Chavez as their president in a victory that drew noisy reactions yesterday from both sides in the streets. International observers certified the results as clean and accurate.	0	2	uknown
79	Jailing of in 'politically motivated' () - China of jailing one of their members on trumped-up charges in a bid to disgrace a has been feuding with for seven years.	3	Jailing of HK democrat in China 'politically motivated' (AFP) AFP - Hong Kong democrats accused China of jailing one of their members on trumped-up prostitution charges in a bid to disgrace a political movement Beijing has been feuding with for seven years.	0	3	uknown
