index	Perturbed_Question1	Perturbed_Question2	label	Original_Question1	Original_Question2	original_label
16	 Why was the Roman Empire so l?	 What are some of the y known a about the Roman Empire?	1	 Why was the Roman Empire so successful?	 What are some of the rarely known facts about the Roman Empire?	0
17	 a it advisable to sent your u to a professor with whom you are trying to make contact for graduate admission?	 How does contacting a professor before applying u into graduate admissions?	1	 Is it advisable to sent your cv to a professor with whom you are trying to make contact for graduate admission?	 How does contacting a professor before applying factor into graduate admissions?	0
18	 k a RainTPL e extension for Sublime Text u? Where can I download it?	 How do I e the k/replace e in Sublime Text u?	1	 Does a RainTPL syntax extension for Sublime Text exist? Where can I download it?	 How do I hide the find/replace bar in Sublime Text 2?	0
19	 What is the average salary of a l in India?	 What is the salary for a l in india?	1	 What is the average salary of a microbiologist in India?	 What is the salary for a psychologist in india?	0
20	 How do you close a Bank of A account?	 How can one close a bank account online?	1	 How do you close a Bank of America account?	 How can one close a bank account online?	0
21	 How can I create the most popular l on Quora?	 Which are the most popular questions on Quora presently that also create the most discussions?	1	 How can I create the most popular question on Quora?	 Which are the most popular questions on Quora presently that also create the most discussions?	0
22	 What are the requirements to become president in the United States and how are the requirements different in l?	 What are the requirements to become president in the United States and how are the requirements different in l?	1	 What are the requirements to become president in the United States and how are the requirements different in Tanzania?	 What are the requirements to become president in the United States and how are the requirements different in France?	0
23	" ""Who is the s the lyrics to Blink-182's """"Adam's Song"""" are written about?"""	" ""Which Blink-182 band member wrote the lyrics to """"Adam's Song""""?"""	1	" ""Who is the Adam the lyrics to Blink-182's """"Adam's Song"""" are written about?"""	" ""Which Blink-182 band member wrote the lyrics to """"Adam's Song""""?"""	0
24	 Why does a rainbow lorikeet make a good pet?	 Can lorikeets be good pets? What are some y to take good care of them?	1	 Why does a rainbow lorikeet make a good pet?	 Can lorikeets be good pets? What are some ways to take good care of them?	0
25	 If m is expanding without a limit and dark and vacuum energy are created as it expands…?	 If c can expand without limit and it creates dark/vacuum/gravitational energy with it,then is the potential energy a?	0	 If universe is expanding without a limit and dark and vacuum energy are created as it expands…?	 If universe can expand without limit and it creates dark/vacuum/gravitational energy with it,then is the potential energy infinite?	1
26	 How is India preparing for war against Pakistan?	 u India preparing for a war?	1	 How is India preparing for war against Pakistan?	 Is India preparing for a war?	0
27	 Why we do study computer c in software engineering.?	 Do we get to chose only y computer language when we are studying engineering?	1	 Why we do study computer fundamental in software engineering.?	 Do we get to chose only one computer language when we are studying engineering?	0
28	 What is the smartest w besides this question?	 What are the smartest w that you have heard?	1	 What is the smartest question besides this question?	 What are the smartest questions that you have heard?	0
29	 What people who you've never met have influenced your life the most?	 Who are people you have never met who have had the m influence on your life?	0	 What people who you've never met have influenced your life the most?	 Who are people you have never met who have had the greatest influence on your life?	1
30	 How much weed did i Marley w a day?	 How much weed should you u?	1	 How much weed did Bob Marley smoke a day?	 How much weed should you smoke?	0
31	 What is the next number of this sequence? 5…..s……7…..89…..??	 What is the next number in the sequence?	1	 What is the next number of this sequence? 5…..17……37…..89…..??	 What is the next number in the sequence?	0
32	 Which i is v for downloading Android (.apk) files?	 Android Application v: Which software is i to develop APK files?	1	 Which website is good for downloading Android (.apk) files?	 Android Application Development: Which software is used to develop APK files?	0
33	 Are vacuum fluctuations occuring because the energy in vacuum? Are these virtual particles?	 Do virtual particles and energy in p really exist? Can we observe them? Where? When?	0	 Are vacuum fluctuations occuring because the energy in vacuum? Are these virtual particles?	 Do virtual particles and energy in vacuum really exist? Can we observe them? Where? When?	1
34	 I'm going to be US President one day. What should I c doing now to achieve this?	 I'm 16 and I want to become the US president someday. What should I start doing?	0	 I'm going to be US President one day. What should I start doing now to achieve this?	 I'm 16 and I want to become the US president someday. What should I start doing?	1
35	 Why i Dhoni leave captaincy of ODI & T-20?	 Why does M.S Dhoni a captaincy for ODI and T20?	0	 Why MS Dhoni leave captaincy of ODI & T-20?	 Why does M.S Dhoni left captaincy for ODI and T20?	1
36	 are i real or are they fake ?	 Do aliens exists?	0	 are aliens real or are they fake ?	 Do aliens exists?	1
37	 Where can I buy special flavor cupcake at Gold Coast?	 Where can I found different flavours for e at Gold Coast?	0	 Where can I buy special flavor cupcake at Gold Coast?	 Where can I found different flavours for cupcakes at Gold Coast?	1
38	 Does marijuana cause r?	 How can smoking marijuana give you lung cancer?	0	 Does marijuana cause cancer?	 How can smoking marijuana give you lung cancer?	1
39	 How do I e for jobs as an e i in the e m?	 Proteus software Infrared Light Sensors Microcontrollers +1 How can I e an IR e a Proteus m?	1	 How do I apply for jobs as an international student in the united states?	 Proteus software Infrared Light Sensors Microcontrollers +1 How can I simulate an IR sensor using Proteus software?	0
40	 What are the procedures for g an actuary?	 What is the procedure of becoming an actuary?	0	 What are the procedures for becoming an actuary?	 What is the procedure of becoming an actuary?	1
41	 What are some tips on y it through the job interview e at n l?	 What are some n on l it through the job i process at eBay?	1	 What are some tips on making it through the job interview process at Access National?	 What are some tips on making it through the job interview process at eBay?	0
42	 How do I k out what operating system I have on my Macbook?	 How do I find out what e system I have?	1	 How do I find out what operating system I have on my Macbook?	 How do I find out what operating system I have?	0
43	 How do o and successful m control their emotions?	 How can I control my emotions?	0	 How do smart and successful people control their emotions?	 How can I control my emotions?	1
44	 Can eating only y for dinner lead to weight loss?	 Does eating dinner earlier in the evening help with weight loss?	1	 Can eating only fruit for dinner lead to weight loss?	 Does eating dinner earlier in the evening help with weight loss?	0
45	 How do I l used car in India?	 Which used v should I buy in India?	1	 How do I buy used car in India?	 Which used car should I buy in India?	0
46	 u i use o in ps2 games e Gta San Andreass and others ?	 Nintendo 3DS: u I just e the o games to t, e SD u for use in the same console?	1	 Can i use mods in ps2 games like Gta San Andreass and others ?	 Nintendo 3DS: Can I just copy the downloaded games to another, bigger SD card for use in the same console?	0
47	 What is the c between the c of Representatives and the t?	 If both senators s the whole U, then which t do a c to vote for? What c this?	1	 What is the difference between the House of Representatives and the Senate?	 If both senators represent the whole state, then which senator do I get to vote for? What determines this?	0
48	 What are the best tips for outlining/planning a f?	 How do I best outline my novel?	0	 What are the best tips for outlining/planning a novel?	 How do I best outline my novel?	1
49	 What's the easiest way to make money online from India?	 What is the best way to t money in india?	1	 What's the easiest way to make money online from India?	 What is the best way to make money in india?	0
50	 What will happen if Donald Trump became the president of t?	 What will happen now that President-elect Donald Trump has won the election?	0	 What will happen if Donald Trump became the president of America?	 What will happen now that President-elect Donald Trump has won the election?	1
51	 Why don't people just f Captain America below the shield?	 Why did everyone have issue accepting Sam Wilson as the new Captain America, no one had an issue when Bucky n up the shield?	1	 Why don't people just shoot Captain America below the shield?	 Why did everyone have issue accepting Sam Wilson as the new Captain America, no one had an issue when Bucky took up the shield?	0
52	 w PlatePlay s in Barcelona?	 Wher is Barcelona?	1	 Is PlatePlay available in Barcelona?	 Wher is Barcelona?	0
53	 How do I increase a in my body?	 n the quantity of a in our body increase as we grow?	1	 How do I increase sperms in my body?	 Does the quantity of blood in our body increase as we grow?	0
54	 When you get a love a done do you n n and u?	 What do Quorans i of that moment when you finally get a notification and when you n it, it's Quora y your n mistakes?	1	 When you get a love spell done do you feel drained and tired?	 What do Quorans think of that moment when you finally get a notification and when you open it, it's Quora correcting your spelling mistakes?	0
55	 What do other a o of Bosnia and Herzegovina?	 e are Bosnia and Herzegovina s country?	1	 What do other countries think of Bosnia and Herzegovina?	 Why are Bosnia and Herzegovina one country?	0
56	 What is t of the biggest misconceptions people have about you?	 What do you perceive to be the biggest misconception people have about you? Why do you think this misconception exists?	0	 What is one of the biggest misconceptions people have about you?	 What do you perceive to be the biggest misconception people have about you? Why do you think this misconception exists?	1
57	 How can you n all of your Gmail accounts?	 How do I resolve Gmail account issues?	1	 How can you find all of your Gmail accounts?	 How do I resolve Gmail account issues?	0
58	" ""What are the best slogans based on the a """"o India"""" or """"राष्ट्रीय एकता""""?"""	 What are some of the best slogans written on a in India?	1	" ""What are the best slogans based on the theme """"United India"""" or """"राष्ट्रीय एकता""""?"""	 What are some of the best slogans written on trucks in India?	0
59	 What is the n order to s the Ender saga in?	 What a is Ender's Game (2013 movie) n in?	1	 What is the best order to read the Ender saga in?	 What year is Ender's Game (2013 movie) set in?	0
60	 Are Rolls-Royce cars n only to reputed y?	 What is the criteria to n a Rolls-Royce?	1	 Are Rolls-Royce cars given only to reputed personalities?	 What is the criteria to buy a Rolls-Royce?	0
61	 Whose e is in better shape in 2016: Pakistan or Bangladesh?	 w Pakistan hate Bangladesh?	1	 Whose Economy is in better shape in 2016: Pakistan or Bangladesh?	 Does Pakistan hate Bangladesh?	0
62	 Steel: Which is the o industrial o products manufacturing company in India?	 What is the steel production o of top 10 steel manufacturers individually in India?	1	 Steel: Which is the best industrial wire products manufacturing company in India?	 What is the steel production capacity of top 10 steel manufacturers individually in India?	0
63	 o didn't Ned Stark bring more men to the Tower of Joy?	 Why did Ned Stark go to the Tower of Joy with so few men? Why not bring a small guard (say 20 more men) of loyal and discreet northerners?	0	 Why didn't Ned Stark bring more men to the Tower of Joy?	 Why did Ned Stark go to the Tower of Joy with so few men? Why not bring a small guard (say 20 more men) of loyal and discreet northerners?	1
64	 How do you get better r?	 How can I dramatically improve my grades?	0	 How do you get better grades?	 How can I dramatically improve my grades?	1
65	 What is a good solar panel installation provider y Lemon v, California CA?	 What is a good solar panel installation s near y Camp, California CA?	1	 What is a good solar panel installation provider near Lemon Cove, California CA?	 What is a good solar panel installation provider near Angels Camp, California CA?	0
66	 W is your favorite Prison Break character?	 Who is the best looking w in Prison Break?	1	 Who is your favorite Prison Break character?	 Who is the best looking actor in Prison Break?	0
67	 How many time can one attempt for JEE Main in one y?	 How many times can I l the JEE Mains?	1	 How many time can one attempt for JEE Main in one year?	 How many times can I give the JEE Mains?	0
68	 FtM: How much of an effect did n have on your m/emotional health when you m y?	 What are l of mental and emotional health?	1	 FtM: How much of an effect did Testosterone have on your mental/emotional health when you started HRT?	 What are examples of mental and emotional health?	0
69	 What is operational h?	 What is operations research?	0	 What is operational research?	 What is operations research?	1
70	 What is your new e resolution, short term and long term goal for 2017?	 What will be your New Year's m for 2017?	0	 What is your new year resolution, short term and long term goal for 2017?	 What will be your New Year's resolution for 2017?	1
71	 Is WIMPs incorrect? Will wave-particle duality ever be understood to be a particle and its associated wave in the strongly interacting a matter?	 Would Einstein and de Broglie have realized a strongly interacting dark matter is the medium for gravitational and wave-particle duality waves?	0	 Is WIMPs incorrect? Will wave-particle duality ever be understood to be a particle and its associated wave in the strongly interacting dark matter?	 Would Einstein and de Broglie have realized a strongly interacting dark matter is the medium for gravitational and wave-particle duality waves?	1
72	 m NeoBux (PTC w) v?	 What is an v l f m m on Neobux?	1	 Will NeoBux (PTC site) last?	 What is an overall rented referral clicks average on Neobux?	0
73	 What are the most common ways people get e in l apart from inherited wealth and winning the lottery?	 Wealth v: What are the most common ways to l only e days a week?	1	 What are the most common ways people get rich in Singapore apart from inherited wealth and winning the lottery?	 Wealth Creation: What are the most common ways to work only four days a week?	0
74	 What will happen to the next Star Wars movies after Carrie Fisher's m?	 What will Carrie Fisher's i mean for the next Star Wars movies?	0	 What will happen to the next Star Wars movies after Carrie Fisher's death?	 What will Carrie Fisher's death mean for the next Star Wars movies?	1
75	 What is the weirdest thing about you? o you proud of it?	 What is the weirdest thing about you?	1	 What is the weirdest thing about you? Are you proud of it?	 What is the weirdest thing about you?	0
76	 Which kind of fit can we y of pen and their opener (c)?	 How do t i/fit a tablet pen to a c?	1	 Which kind of fit can we say of pen and their opener (cap)?	 How do I scale/fit a tablet pen to a canvas?	0
77	 Which a t is suitable for an ordered t s and why?	 e me an t which is suitable for t s and engineering also durable at an budget upto 57k?	1	 Which searching technique is suitable for an ordered linked list and why?	 Suggest me an laptop which is suitable for little gaming and engineering also durable at an budget upto 57k?	0
78	 Design a o o for serving Google maps images?	 Why is O not o of Google Street View?	1	 Design a server architecture for serving Google maps images?	 Why is Austria not part of Google Street View?	0
79	 How do I know Jesus is l to me?	 How do you know Jesus is the only s to heaven?	1	 How do I know Jesus is talking to me?	 How do you know Jesus is the only way to heaven?	0
80	 Can g reach an orgasm from anal sex?	 How d is it for a man to be able to reach orgasm from vaginal sex but not oral sex?	1	 Can women reach an orgasm from anal sex?	 How common is it for a man to be able to reach orgasm from vaginal sex but not oral sex?	0
81	 What is an analogy for a smooth m?	 What is an analogy for smooth ER?	0	 What is an analogy for a smooth ER?	 What is an analogy for smooth ER?	1
82	 t t programming, but I u a u. How do I have a while s?	 I u to learn u Java. What are some t for some t online advanced Java course u or free advanced Java tutorials?	1	 I love programming, but I get bored quickly. How do I have fun while programming?	 I want to learn advanced Java. What are some suggestions for some free online advanced Java course providers or free advanced Java tutorials?	0
83	 What is the market size of live chat support software?	 What's the t of the live chat industry globally?	0	 What is the market size of live chat support software?	 What's the size of the live chat industry globally?	1
84	 What makes Axl Rose's voice s?	 s Axl Rose s?	1	 What makes Axl Rose's voice unique?	 Is Axl Rose gay?	0
85	 e was a o offensive l - Jim t or A Munoz?	 What l does a QB t for pro-style e vs typical l offense? o is it t from o play? How hard is it for a QB to adapt? 	1	 Who was a better offensive tackle - Jim Parker or Anthony Munoz?	 What skills does a QB need for pro-style offense vs typical college offense? Why is it different from college play? How hard is it for a QB to adapt? 	0
86	 How did you t another language?	 Why shouldn't you learn n language?	1	 How did you learn another language?	 Why shouldn't you learn another language?	0
87	 Does y my location still work if my phone is turned off?	 How do m find my phone when turned off?	1	 Does sharing my location still work if my phone is turned off?	 How do I find my phone when turned off?	0
88	 What is the best business to start in g?	 What is the best business in Bangalore to start up with?	0	 What is the best business to start in Bangalore?	 What is the best business in Bangalore to start up with?	1
89	 How do you attract parents of preschool children online?	 How do you n parents of preschool children to your website?	1	 How do you attract parents of preschool children online?	 How do you attract parents of preschool children to your website?	0
90	 In Windows 10, how do you change s association back to unknown program?	 How do you T from s Insider Program Back to Windows 10?	1	 In Windows 10, how do you change file association back to unknown program?	 How do you go from Windows Insider Program Back to Windows 10?	0
91	 Why do girls date s jerks?	 Why do women like jerks?	1	 Why do girls date abusive jerks?	 Why do women like jerks?	0
92	 How should one deal with their own aggressions?	 How do I deal with an aggressive s?	1	 How should one deal with their own aggressions?	 How do I deal with an aggressive father?	0
93	 When and how did you become an a?	 When did you become an atheist?	0	 When and how did you become an atheist?	 When did you become an atheist?	1
94	 Why do most w n w and some dont even y when u 5ghz wifi? The s speed is not the o:	 My W speed is being n as y - u Mbps and it w 20 seconds to y s the s page of YouTube. o this normal?	1	 Why do most websites load slow and some dont even load when using 5ghz wifi? The internet speed is not the problem:	 My wifi speed is being listed as 80 - 100 Mbps and it takes 20 seconds to fully load the front page of YouTube. Is this normal?	0
95	 Why does gst bill is i?	 What is the e of GST bill on a c man?	0	 Why does gst bill is important?	 What is the effect of GST bill on a common man?	1
96	 What a 1 k r as special or g when they c in Colorado i, d?	 What are the v for g r from v d?	1	 What strikes first time visitors as special or unusual when they arrive in Colorado Springs, CO?	 What are the supports for women entrepreneurs from Indian Government?	0
97	 Which aircraft was superior - the Douglas DC8 or the Boeing 707?	 Was the Douglas DC8 a a aircraft to the Boeing 707?	0	 Which aircraft was superior - the Douglas DC8 or the Boeing 707?	 Was the Douglas DC8 a superior aircraft to the Boeing 707?	1
98	 How can I expand my l?	 What can I do to increase my IQ?	0	 How can I expand my IQ?	 What can I do to increase my IQ?	1
99	 u Mughal u Shah Jahan, who is s to have i the Taj Mahal, marry Mumtaz Mahal after a her first husband?	 I am missing my first husband a s after marrying to my u husband, how can I e this?	1	 Did Mughal ruler Shah Jahan, who is said to have built the Taj Mahal, marry Mumtaz Mahal after killing her first husband?	 I am missing my first husband a lot after marrying to my second husband, how can I overcome this?	0
100	 How can I stop myself from watching too much of r?	 How shall I stop watching porn?	0	 How can I stop myself from watching too much of porn?	 How shall I stop watching porn?	1
101	 What will be the effect of banning 500 and 1000 Rs notes on real estate sector in India? Can we expect sharp fall in prices in short/long term?	 What will the real estate look like now after the i and M scraping?	0	 What will be the effect of banning 500 and 1000 Rs notes on real estate sector in India? Can we expect sharp fall in prices in short/long term?	 What will the real estate look like now after the 500 and 1000 scraping?	1
102	 How do I u my Yahoo Mail account?	 How do you i a Yahoo account?	1	 How do I unlock my Yahoo Mail account?	 How do you disable a Yahoo account?	0
103	 Music: How do I download MP3 songs for free from the internet?	 Which are the websites that u free MP3 Music downloads?	1	 Music: How do I download MP3 songs for free from the internet?	 Which are the websites that provide free MP3 Music downloads?	0
104	 Is it worth it to pay for P from my pocket?	 Is it foolish to pay for your PhD out of your own pocket?	0	 Is it worth it to pay for PhD from my pocket?	 Is it foolish to pay for your PhD out of your own pocket?	1
105	 What are the best ways to learn to r?	 How do I learn to cook?	0	 What are the best ways to learn to cook?	 How do I learn to cook?	1
106	 How will Indian w to go to the US for a masters, be affected under a Trump presidency?	 How safe it is for Indians to migrate to the US after Trump becoming the president?	1	 How will Indian aspirants to go to the US for a masters, be affected under a Trump presidency?	 How safe it is for Indians to migrate to the US after Trump becoming the president?	0
107	 Which a is correct ？and why?	 Which a is correct?	1	 Which sentence is correct ？and why?	 Which sentence is correct?	0
108	 u h 6ft fighters . y 170 y and the other 200 pounds . w the f fighter j out on i? Why?	 n a a n to w a j and a it f i s i?	1	 Two trained 6ft fighters . One 170 pounds and the other 200 pounds . Will the heavier fighter come out on top? Why?	 Write a C program to read a line and print it reverse using recursive function?	0
109	 What is JIRA l for?	 What is the w w to use Basecamp and Jira h?	1	 What is JIRA used for?	 What is the best way to use Basecamp and Jira together?	0
110	 If I'm passionate about z and self development, should I v two separate blogs or one?	 Personal z: Is it better to have one blog for i interests, or two separate blogs?	1	 If I'm passionate about marketing and self development, should I make two separate blogs or one?	 Personal Branding: Is it better to have one blog for two interests, or two separate blogs?	0
111	 Can a F1 student visa holder become a Uber driver in USA?	 Can m drive for Uber with my H1-B work visa or F1 student visa in the US?	0	 Can a F1 student visa holder become a Uber driver in USA?	 Can I drive for Uber with my H1-B work visa or F1 student visa in the US?	1
112	 What was first word spoken by human?	 What is the v word ever spoken?	0	 What was first word spoken by human?	 What is the first word ever spoken?	1
113	 Is it healthy for dogs to eat bones?	 Is it safe to feed my dog cooked y bones?	1	 Is it healthy for dogs to eat bones?	 Is it safe to feed my dog cooked ham bones?	0
114	 Who was started Social Media s between Indian and i?	 Why do Indians who s DSLRs start s x edited i with watermarks on social media?	1	 Who was started Social Media war between Indian and Pakistani?	 Why do Indians who purchase DSLRs start posting heavily edited pics with watermarks on social media?	0
115	 Should I give my JEE Main exam offline or online?	 Which mode is g for JEE MAIN 2017 online exam or offline?	0	 Should I give my JEE Main exam offline or online?	 Which mode is best for JEE MAIN 2017 online exam or offline?	1
116	 beautiful?	  beautiful?	1	 Why are African-Americans so beautiful?	 Why are hispanics so beautiful?	0
117	 Is there a reason why we should travel alone?	 What are some to travel alone?	0	 Is there a reason why we should travel alone?	 What are some reasons to travel alone?	1
118	 having a/?	  have child?	1	 Why are people so obsessed with having a girlfriend/boyfriend?	 How can a single male have a child?	0
119	 What are some good baby girl names starting with D?	 What are some good baby girl names starting with D or?	1	 What are some good baby girl names starting with D?	 What are some good baby girl names starting with D or H?	0
120	ar old guy and never had a girlfriend. Is this weird?<SPLT>I am 25 years old. I have never had a girlfriend. Is something wrong with me?	 What is the thing in Hong Kong?	0	 What are the best things to do in Hong Kong?	 What is the best thing in Hong Kong?	1
121	 Can you TRANSLATE to English language?	 Can you this from to English language?	1	 Can you TRANSLATE these to English language?	 Can you translate this from Bengali to English language?	0
122	 Which is the best gaming laptop under 40k?	 Which is the best gaming laptop under,000 rs?	0	 Which is the best gaming laptop under 40k?	 Which is the best gaming laptop under 40,000 rs?	1
123	 Why Tamil good?	 Why the students able to 100% Tamil Nadu?	1	 Why Tamil Nadu Universities are no good?	 Why are the 10th students able to score 100% in Tamil Nadu?	0
124	 What is an easy way to clean stains from a washing it?	 What are some ways to water stains from dishes?	1	 What is an easy way to clean toothpaste stains from a shirt without washing it?	 What are some ways to remove hard water stains from dishes?	0
125	 What was the deadliest battle in history?	 What was the battle in history?	0	 What was the deadliest battle in history?	 What was the bloodiest battle in history?	1
126	 What are your views about demonetisation in?	 What do you think about the ban on 500 and 1000 denomination notes in India?	0	 What are your views about demonetisation in India?	 What do you think about the ban on 500 and 1000 denomination notes in India?	1
127	 difference polyester and?	  difference polyester?	1	 What are the difference between polyester 210T and 210D?	 What is the difference between cotton and polyester?	0
128	 Is FMS a good option for a MBA executive program?	 Is FMS a good choice for an MBA in HR? Why and why not?	1	 Is FMS Delhi a good option for a MBA executive program?	 Is FMS a good choice for an MBA in HR? Why and why not?	0
129	 Is it a bad time to buy a condo or a house in the Bay Area in 2017?	 Would be a good time to buy a house in Bay Area?	0	 Is it a bad time to buy a condo or a house in the Bay Area in 2017?	 Would 2017 be a good time to buy a house in Bay Area?	1
130	 How is vanilla extract made?	 How do you make vanilla extract?	1	 How is vanilla extract made?	 How do you make sugar cookies without vanilla extract?	0
131	 What is the, and how do the average temperatures there compare to the ones in the Patagonian Desert?	 What is the Sahara, and how do the average temperatures there compare to the ones in the Registan Desert?	0	 What is the Sahara, and how do the average temperatures there compare to the ones in the Patagonian Desert?	 What is the Sahara, and how do the average temperatures there compare to the ones in the Registan Desert?	1
132	 Why was the Roman Empire?	 What are some of the known facts about the Roman Empire?	1	 Why was the Roman Empire so successful?	 What are some of the rarely known facts about the Roman Empire?	0
133	 Is it to your to a professor with whom you are trying to make contact for graduate admission?	 How does contacting a professor before applying factor into graduate admissions?	1	 Is it advisable to sent your cv to a professor with whom you are trying to make contact for graduate admission?	 How does contacting a professor before applying factor into graduate admissions?	0
134	 Does a extension Sublime Text? Where can it?	  the find/ bar Sublime Text?	1	 Does a RainTPL syntax extension for Sublime Text exist? Where can I download it?	 How do I hide the find/replace bar in Sublime Text 2?	0
135	 What is the average salary of a in India?	 What is the salary for a in india?	1	 What is the average salary of a microbiologist in India?	 What is the salary for a psychologist in india?	0
136	 How do you close a Bank of account?	 How can one close a bank account online?	1	 How do you close a Bank of America account?	 How can one close a bank account online?	0
137	 How can I create the most popular on Quora?	 Which are the most popular questions Quora presently that also create the most discussions?	1	 How can I create the most popular question on Quora?	 Which are the most popular questions on Quora presently that also create the most discussions?	0
138	 What are the requirements to become president in the United States and how are the requirements different in?	 What are the requirements to become president in the United States and how are the requirements different in?	1	 What are the requirements to become president in the United States and how are the requirements different in Tanzania?	 What are the requirements to become president in the United States and how are the requirements different in France?	0
139	" ""Who is the the lyrics to Blink-182's """"Adam's Song"""" are written about?"""	" ""Which Blink-182 band member wrote the lyrics to """"Adam's Song""""?"""	1	" ""Who is the Adam the lyrics to Blink-182's """"Adam's Song"""" are written about?"""	" ""Which Blink-182 band member wrote the lyrics to """"Adam's Song""""?"""	0
140	 Why does a lorikeet make a good pet?	 Can lorikeets be good pets? What are some to take good care of them?	1	 Why does a rainbow lorikeet make a good pet?	 Can lorikeets be good pets? What are some ways to take good care of them?	0
141	 Which (i.e. primary, secondary, tertiary) the to the GDP? Why?	 What contribution to the GDP?	1	 Which sector (i.e. primary, secondary, tertiary) contributes the most to the GDP of India? Why?	 What is my contribution to the GDP?	0
142	 universe is expanding without and dark vacuum energy expands…?	 If universe without limit and dark/vacuum/ energy,then is energy?	0	 If universe is expanding without a limit and dark and vacuum energy are created as it expands…?	 If universe can expand without limit and it creates dark/vacuum/gravitational energy with it,then is the potential energy infinite?	1
143	 How is India preparing for against Pakistan?	 Is India preparing for a war?	1	 How is India preparing for war against Pakistan?	 Is India preparing for a war?	0
144	 Why we do study computer fundamental in engineering.?	 Do we get to chose computer language when are studying engineering?	1	 Why we do study computer fundamental in software engineering.?	 Do we get to chose only one computer language when we are studying engineering?	0
145	 What is smartest question question?	 What are smartest questions have heard?	1	 What is the smartest question besides this question?	 What are the smartest questions that you have heard?	0
146	 What is a good text editor?	 What are the best text editor?	1	 What is a good text editor?	 What are the best text editor plugins?	0
147	 What people who you've met have influenced your life the most?	 Who are people you have never met who have had the greatest influence on your life?	0	 What people who you've never met have influenced your life the most?	 Who are people you have never met who have had the greatest influence on your life?	1
148	 How much weed did smoke a day?	 How much weed you?	1	 How much weed did Bob Marley smoke a day?	 How much weed should you smoke?	0
149	 What is the next number of sequence? 5…..……37…..89…..??	 What is the next number the sequence?	1	 What is the next number of this sequence? 5…..17……37…..89…..??	 What is the next number in the sequence?	0
150	 Which is good for Android (.apk) files?	 Android Application Development: Which software is to APK files?	1	 Which website is good for downloading Android (.apk) files?	 Android Application Development: Which software is used to develop APK files?	0
151	 Are vacuum fluctuations occuring because the energy in vacuum? Are these virtual particles?	 Do virtual particles and in vacuum really exist? Can we observe them? Where? When?	0	 Are vacuum fluctuations occuring because the energy in vacuum? Are these virtual particles?	 Do virtual particles and energy in vacuum really exist? Can we observe them? Where? When?	1
