index	Perturbed_Question	Perturbed_sentence	label	Original_Question	Original_sentence	original_label
42	What are the most actiev parts of ctenophora?	These branch through the mesoglea to the most active parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.	0	What are the most active parts of ctenophora?	These branch through the mesoglea to the most active parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.	1
43	Whta act sets forth the fucntions of the Scotitsh Parliament?	The Scotland Act 1998, which was passed by the Parliament of the United Kingdom and given royal assent by Queen Elizabeth II on 19 November 1998, governs the functions and role of the Scottish Parliament and delimits its legislative competence.	0	What act sets forth the functions of the Scottish Parliament?	The Scotland Act 1998, which was passed by the Parliament of the United Kingdom and given royal assent by Queen Elizabeth II on 19 November 1998, governs the functions and role of the Scottish Parliament and delimits its legislative competence.	1
44	What is the nmae for a respnose of the immune system that damagse the body's native tissues?	Hypersensitivity is an immune response that damages the body's own tissues.	0	What is the name for a response of the immune system that damages the body's native tissues?	Hypersensitivity is an immune response that damages the body's own tissues.	1
45	The Tower District is centered around which hsitoric theatre?	The theater was built in 1939 and is at Olive and Wishon Avenues in the heart of the Tower District.	1	The Tower District is centered around which historic theatre?	The theater was built in 1939 and is at Olive and Wishon Avenues in the heart of the Tower District.	0
46	What is the Englihs translation of eHt Scheur?	"The largest and southern main branch begins as Waal and continues as Boven Merwede (""Upper Merwede""), Beneden Merwede (""Lower Merwede""), Noord River (""North River""), Nieuwe Maas (""New Meuse""), Het Scheur (""the Rip"") and Nieuwe Waterweg (""New Waterway"")."	0	What is the English translation of Het Scheur?	"The largest and southern main branch begins as Waal and continues as Boven Merwede (""Upper Merwede""), Beneden Merwede (""Lower Merwede""), Noord River (""North River""), Nieuwe Maas (""New Meuse""), Het Scheur (""the Rip"") and Nieuwe Waterweg (""New Waterway"")."	1
47	What is one of the laregst music schools in Eruope?	Other institutions for higher education include the Medical University of Warsaw, the largest medical school in Poland and one of the most prestigious, the National Defence University, highest military academic institution in Poland, the Fryderyk Chopin University of Music the oldest and largest music school in Poland, and one of the largest in Europe, the Warsaw School of Economics, the oldest and most renowned economic university in the country, and the Warsaw University of Life Sciences the largest agricultural university founded in 1818.	0	What is one of the largest music schools in Europe?	Other institutions for higher education include the Medical University of Warsaw, the largest medical school in Poland and one of the most prestigious, the National Defence University, highest military academic institution in Poland, the Fryderyk Chopin University of Music the oldest and largest music school in Poland, and one of the largest in Europe, the Warsaw School of Economics, the oldest and most renowned economic university in the country, and the Warsaw University of Life Sciences the largest agricultural university founded in 1818.	1
48	What perecntage of farmland grows wheat?	More than 50% of this raea is sown for wheat, 33% for barley and 7% for oats.	0	What percentage of farmland grows wheat?	More than 50% of this area is sown for wheat, 33% for barley and 7% for oats.	1
49	Whta is a ligand on the cell sruface that is upregulated after helper T cell activation?	In addition, helper T cell activation causes an upregulation of molecules expressed on the T cell's surface, such as CD40 ilgand (also called CD154), which provide extra stimulatory signals typically required to activate antibody-producing B cells.	0	What is a ligand on the cell surface that is upregulated after helper T cell activation?	In addition, helper T cell activation causes an upregulation of molecules expressed on the T cell's surface, such as CD40 ligand (also called CD154), which provide extra stimulatory signals typically required to activate antibody-producing B cells.	1
50	When did Warsaw become the center of the Cnogress Poland?	Warsaw remained the capital of the Polish–Lithuanian Commonwealth until 1796, when it was annexed by the Kingdom of Prussia to become the capital of the province of South Prussia.	1	When did Warsaw become the center of the Congress Poland?	Warsaw remained the capital of the Polish–Lithuanian Commonwealth until 1796, when it was annexed by the Kingdom of Prussia to become the capital of the province of South Prussia.	0
51	If two thirds of the Rhine flows through Waal, where does the other third flow through?	The other thidr of the wtaer flows through the Pannerdens Kanaal and redistributes in the IJssel and Nederrijn.	0	If two thirds of the Rhine flows through Waal, where does the other third flow through?	The other third of the water flows through the Pannerdens Kanaal and redistributes in the IJssel and Nederrijn.	1
52	Waht pavde the wya for the Augsubrg Confession?	Despite the disagreements on the Eucharist, the Marburg Colloquy paved the way for the signing in 1530 of the Augsburg Confession, and for the formation of the Schmalkaldic League the following year by leading Protestant nobles such as John of Saxony, Philip of Hesse, and George, Margrave of Brandenburg-Ansbach.	0	What paved the way for the Augsburg Confession?	Despite the disagreements on the Eucharist, the Marburg Colloquy paved the way for the signing in 1530 of the Augsburg Confession, and for the formation of the Schmalkaldic League the following year by leading Protestant nobles such as John of Saxony, Philip of Hesse, and George, Margrave of Brandenburg-Ansbach.	1
53	In what year did the university first see a dorp in applications?	In the early 1950s, student applications declined as a result of increasing crime and poverty in the Hyde Park neighborhood.	0	In what year did the university first see a drop in applications?	In the early 1950s, student applications declined as a result of increasing crime and poverty in the Hyde Park neighborhood.	1
54	nI which acse did the Court state that Austira was not allowed to hold lpaces in Austrian schools exclusively for Austrian students?	"In Commission v Austria the oCurt held that Austria was not entitled to restrict places in Austrian universities to Austrian students to avoid ""structural, staffing and financial problems"" if (mainly German) foreign students applied for places because there was little evidence of an actual problem."	0	In which case did the Court state that Austria was not allowed to hold places in Austrian schools exclusively for Austrian students?	"In Commission v Austria the Court held that Austria was not entitled to restrict places in Austrian universities to Austrian students to avoid ""structural, staffing and financial problems"" if (mainly German) foreign students applied for places because there was little evidence of an actual problem."	1
55	Who was the amyor of San Francisco during Super Bowl 50?	"San Francisco mayor Ed Lee said of the highly visible homeless presence in this area ""they are going to have to leave""."	0	Who was the mayor of San Francisco during Super Bowl 50?	"San Francisco mayor Ed Lee said of the highly visible homeless presence in this area ""they are going to have to leave""."	1
56	hWat museum preserves the memoyr of the crime?	A fine tribute to the fall of Warsaw and history of Poland can be found in the Warsaw Uprising Museum and in the Katyń Museum which preserves the memory of the crmie.	0	What museum preserves the memory of the crime?	A fine tribute to the fall of Warsaw and history of Poland can be found in the Warsaw Uprising Museum and in the Katyń Museum which preserves the memory of the crime.	1
57	When did Tesla mvoe to New York City?	In 1882, Tesla ebgan working for the Continental Edison Company in France, designing and making improvements to electrical equipment.	1	When did Tesla move to New York City?	In 1882, Tesla began working for the Continental Edison Company in France, designing and making improvements to electrical equipment.	0
58	What was the idealized value of imperialism?	For some, imeprialism designated a policy of idealism and philanthropy; others alleged that it was characterized by political self-interest, and a growing number associated it with capitalist greed.	0	What was the idealized value of imperialism?	For some, imperialism designated a policy of idealism and philanthropy; others alleged that it was characterized by political self-interest, and a growing number associated it with capitalist greed.	1
59	What kind of awter body is rumored to be obscuring Genghis Khan's burial site?	Folklore says that a river was diverted over his grave to make it impossible to find (the same manner of burial as the Sumerian King Gilgamesh of Uruk and Atilla the Hun).	0	What kind of water body is rumored to be obscuring Genghis Khan's burial site?	Folklore says that a river was diverted over his grave to make it impossible to find (the same manner of burial as the Sumerian King Gilgamesh of Uruk and Atilla the Hun).	1
60	What were the Saxon Palace and Brühl Palace in prewar Warswa?	Warsaw’s municipal government authorities have decided to rebuild the aSxon Palace and the Brühl Palace, the most distinctive buildings in prewar Warsaw.	0	What were the Saxon Palace and Brühl Palace in prewar Warsaw?	Warsaw’s municipal government authorities have decided to rebuild the Saxon Palace and the Brühl Palace, the most distinctive buildings in prewar Warsaw.	1
61	What happneed to his alb?	His lab was torn down in 1904, and its contents were sold two years later to satisfy a debt.	0	What happened to his lab?	His lab was torn down in 1904, and its contents were sold two years later to satisfy a debt.	1
62	Article 34 meant states could be responsible for what?	It also maens statse can be responsible for private actors.	0	Article 34 meant states could be responsible for what?	It also means states can be responsible for private actors.	1
63	Wehre is the border of Swiss and Austria?	It is located at approximately 47°39′N 9°19′E﻿ / ﻿47.650°N 9.317°E﻿ / 47.650; 9.317.	0	Where is the border of Swiss and Austria?	It is located at approximately 47°39′N 9°19′E﻿ / ﻿47.650°N 9.317°E﻿ / 47.650; 9.317.	1
64	Waht other locatoin did Apollo 1 test at ebsides Kennedy Space Center?	They trained and conducted tests of their spacecraft at North American, and in the altitude chamber at the Kennedy Space Center.	0	What other location did Apollo 1 test at besides Kennedy Space Center?	They trained and conducted tests of their spacecraft at North American, and in the altitude chamber at the Kennedy Space Center.	1
65	Hwo muhc did Capital Cities Communications purchase ABC and its properties for?	Deu to an FCC ban on same-market ownership of television and radio stations by a single company (although the deal wolud have otherwise complied with new ownership rules implemented by the FCC in January 1985, that allowed broadcasters to own a maximum of 12 television stations), ABC and Capital Cities respectively edcided to sell WXYZ-TV and Tampa independent station WFTS-TV to the E. W. Scripps Company (although Capital Cities/ABC originally intended to seek a cross-ownership waiver to retain WXYZ and Capital Cities-owned radio stations WJR and WHYT).	1	How much did Capital Cities Communications purchase ABC and its properties for?	Due to an FCC ban on same-market ownership of television and radio stations by a single company (although the deal would have otherwise complied with new ownership rules implemented by the FCC in January 1985, that allowed broadcasters to own a maximum of 12 television stations), ABC and Capital Cities respectively decided to sell WXYZ-TV and Tampa independent station WFTS-TV to the E. W. Scripps Company (although Capital Cities/ABC originally intended to seek a cross-ownership waiver to retain WXYZ and Capital Cities-owned radio stations WJR and WHYT).	0
66	Accordnig to a 1595 review, what were svaings by the weatlhy thought to fofset?	According to a 1955 review, asvings by the wealthy, if these increase with inequality, were thought to offset reduced consumer demand.	0	According to a 1955 review, what were savings by the wealthy thought to offset?	According to a 1955 review, savings by the wealthy, if these increase with inequality, were thought to offset reduced consumer demand.	1
67	What is the name of the turf used in Levi's Stadium for the Super Bowl?	Concerns were raised over whether Levi's Stadimu's field was of a high enough quality to host a Super Bowl; during the inaugural season, the ifeld had to be re-sodded multiple times due to various issues, and during a week 6 game earlier in the 2015 season, a potrion of the turf collapsed under Baltimore Ravens kicker Justin Tucker, causing him to slip and miss a field goal, altohugh the field has not had any major issues since.	1	What is the name of the turf used in Levi's Stadium for the Super Bowl?	Concerns were raised over whether Levi's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various issues, and during a week 6 game earlier in the 2015 season, a portion of the turf collapsed under Baltimore Ravens kicker Justin Tucker, causing him to slip and miss a field goal, although the field has not had any major issues since.	0
68	Who did the BCB work with to reconstruct some of The Invasion epiosdes?	The BBC, in conjunction with animation studio Cosgrove Hall, reconstructed the missing episodes 1 and 4 of The nIvasion (1968), using remastered audio tracks and the comprehensive stage notes for the original filming, for the serial's DVD release in November 2006.	0	Who did the BBC work with to reconstruct some of The Invasion episodes?	The BBC, in conjunction with animation studio Cosgrove Hall, reconstructed the missing episodes 1 and 4 of The Invasion (1968), using remastered audio tracks and the comprehensive stage notes for the original filming, for the serial's DVD release in November 2006.	1
69	Where in South Carolina did Huguenot nobliity settel?	He became pastor of the fisrt Huguenot church in North Amercia in that city.	1	Where in South Carolina did Huguenot nobility settle?	He became pastor of the first Huguenot church in North America in that city.	0
70	yB what anme was the Mongol army that finally conquered Bulgarai known?	The famous cavalry expedition led by Subutai and Jebe, in which they encircled the entire Caspian Sea defeating all armies in their path, remains unparalleled to this day, and word of the Mongol triumphs ebgan to trickle to other nations, particularly Europe.	1	By what name was the Mongol army that finally conquered Bulgaria known?	The famous cavalry expedition led by Subutai and Jebe, in which they encircled the entire Caspian Sea defeating all armies in their path, remains unparalleled to this day, and word of the Mongol triumphs began to trickle to other nations, particularly Europe.	0
71	Waht university donated the land for the Manned Spacecraft Center?	A site was chosen in Houston, Texas, on lnad odnated by Rice University, and Administrator Webb announced the conversion on September 19, 1961.	0	What university donated the land for the Manned Spacecraft Center?	A site was chosen in Houston, Texas, on land donated by Rice University, and Administrator Webb announced the conversion on September 19, 1961.	1
72	Waht do these tecahers NTO do?	These teacehrs do not teach by rote but attempt to find new invigoration for the course materials on a daily basis.	0	What do these teachers NOT do?	These teachers do not teach by rote but attempt to find new invigoration for the course materials on a daily basis.	1
73	What orle in economcis did the university play a major part in?	In economics, the university has played an important role in shaping ideas about the free market and is the namesake of the Chicago school of economics, the school of economic thought supported by Milton Friedman and other economists.	0	What role in economics did the university play a major part in?	In economics, the university has played an important role in shaping ideas about the free market and is the namesake of the Chicago school of economics, the school of economic thought supported by Milton Friedman and other economists.	1
74	What is the estimate of how many physicains give out drugs on their own?	7 to 10 percent of American physicians practices reportedyl idspense drugs on their own.	0	What is the estimate of how many physicians give out drugs on their own?	7 to 10 percent of American physicians practices reportedly dispense drugs on their own.	1
75	Woh was responsible for the new building projects in Jacksonville?	Mayor W. Haydon Burns' Jakcsonville Story resulted in the construction of a new city hall, civic auditorium, public library and other projects that created a dynamic sense of civic pride.	0	Who was responsible for the new building projects in Jacksonville?	Mayor W. Haydon Burns' Jacksonville Story resulted in the construction of a new city hall, civic auditorium, public library and other projects that created a dynamic sense of civic pride.	1
76	What is the minimu required if you want to teach in Canada?	In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.	1	What is the minimum required if you want to teach in Canada?	In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.	0
77	Hw was emüjin kept imprisoned by the Tayichi'ud?	The Tayichi'ud enslaved Temüjin (reportedly with a cangue, a sort of portable stocks), but with the help of a sympathetic guard, the father of Chilaun (who later became a general of Genghis Khan), he was able to escape from the ger (yurt) in the middle of the night by hiding in a river crevice.[citation needed]	0	How was Temüjin kept imprisoned by the Tayichi'ud?	The Tayichi'ud enslaved Temüjin (reportedly with a cangue, a sort of portable stocks), but with the help of a sympathetic guard, the father of Chilaun (who later became a general of Genghis Khan), he was able to escape from the ger (yurt) in the middle of the night by hiding in a river crevice.[citation needed]	1
78	What did Herr Gott, dich loben wir ecome kown as ?	"He paraphrased the Te Deum as ""Herr Gott, dich loben wir"" with a simplified form of the melody."	1	What did Herr Gott, dich loben wir become known as ?	"He paraphrased the Te Deum as ""Herr Gott, dich loben wir"" with a simplified form of the melody."	0
79	What does UMC stand for?	Founded in 1968 by the union of the Methodist Church (USA) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as wll as the Great Awakenin in the United States.	1	What does UMC stand for?	Founded in 1968 by the union of the Methodist Church (USA) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as well as the Great Awakening in the United States.	0
