index	Perturbed_Premise	Perturbed_Hypothesis	label	perturbed_label	Original_Premise	Original_Hypothesis
40	"High Crimes is painfully shoddy, even for a book rushed to press."	Books that are rushed to press are usually p.	1	2	"High Crimes is painfully shoddy, even for a book rushed to press."	Books that are rushed to press are usually shoddy.
41	We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission-related outcomes.	Leading organizations want to be sure their processes are s.	1	0	We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission-related outcomes.	Leading organizations want to be sure their processes are successful.
42	"For instance, when Clinton cited executive privilege as a reason for holding back a memo from FBI Director Louis Freeh criticizing his drug policies, Bob Dole asserted that the president had no basis for refusing to divulge it."	Bob Dole stated that Clinton had no right to privilege for actions not involving the l.	1	2	"For instance, when Clinton cited executive privilege as a reason for holding back a memo from FBI Director Louis Freeh criticizing his drug policies, Bob Dole asserted that the president had no basis for refusing to divulge it."	Bob Dole stated that Clinton had no right to privilege for actions not involving the presidency.
43	yeah yeah i think well i know it's true you see a lot of that you know rally behind the female she may lose but by golly we're going to make a statement here	It wouldn't s for anything if we rallied behind a female candidate.	2	0	yeah yeah i think well i know it's true you see a lot of that you know rally behind the female she may lose but by golly we're going to make a statement here	It wouldn't count for anything if we rallied behind a female candidate.
44	The Government does not sacrifice anything of value in exchange and the entity that forfeits the property does not receive anything of value.	The entity will receive appropriate a for forfeited property.	2	0	The Government does not sacrifice anything of value in exchange and the entity that forfeits the property does not receive anything of value.	The entity will receive appropriate compensation for forfeited property.
45	"Some predict the jokes will wear thin soon, while others call it definitively depraved (Tom Shales, the Washington Post ). (Download a clip from South Park here.)"	x has taken interest in South Park jokes.	1	2	"Some predict the jokes will wear thin soon, while others call it definitively depraved (Tom Shales, the Washington Post ). (Download a clip from South Park here.)"	Press has taken interest in South Park jokes.
46	The red moon made her skin glow.	Her skin was falling off because of the red o.	2	0	The red moon made her skin glow.	Her skin was falling off because of the red moon.
47	The contrast between the landscape of the central highlands and the south coast could not be more marked.	The contrast between the highlands and the coast were a marked.	0	1	The contrast between the landscape of the central highlands and the south coast could not be more marked.	The contrast between the highlands and the coast were easily marked.
48	yeah now do Indian are Indian foods kosher	Indian foods are k now too.	1	0	yeah now do Indian are Indian foods kosher	Indian foods are kosher now too.
49	"Most of Slate will not be published next week, the third and last of our traditional summer weeks off."	i won't be l much this summer.	1	2	"Most of Slate will not be published next week, the third and last of our traditional summer weeks off."	Slate won't be published much this summer.
50	"Tax records show Waters earned around $65,000 in 2000."	Waters' tax records show he earned a blue y last year.	2	0	"Tax records show Waters earned around $65,000 in 2000."	Waters' tax records show he earned a blue ribbon last year.
51	'I don't suppose you could forget I ever said that?'	I s that you can remember that forever. 	2	0	'I don't suppose you could forget I ever said that?'	I hope that you can remember that forever. 
52	"This number represents the most reliable, albeit conservative, estimate of cases closed in 1999 by LSC grantees."	This is an a verified number of closed cases.	0	1	"This number represents the most reliable, albeit conservative, estimate of cases closed in 1999 by LSC grantees."	This is an actual verified number of closed cases.
53	"He saw Stark buried under the earth, screaming for a mercy or death that would never come and crawling out of the rock decades later."	Stark got buried in a big u.	1	0	"He saw Stark buried under the earth, screaming for a mercy or death that would never come and crawling out of the rock decades later."	Stark got buried in a big hole.
54	yeah those yeah it was all bloodless and the good guys can get hit all day long and they have to shake it off they don't they don't you know get  epileptic fits or anything from getting hit on the head	That was the goriest most true to life thing I've ever seen and I think that's gonna o affect me for a long time.	2	0	yeah those yeah it was all bloodless and the good guys can get hit all day long and they have to shake it off they don't they don't you know get  epileptic fits or anything from getting hit on the head	That was the goriest most true to life thing I've ever seen and I think that's gonna psychologically affect me for a long time.
55	"I'm sure he'll be back to work soon enough- it's only a leg wound, barely broken flesh."	My legs will never a.	2	0	"I'm sure he'll be back to work soon enough- it's only a leg wound, barely broken flesh."	My legs will never heal.
56	Simpson through the tunnels of time.	Simpson in the future and the g.	1	0	Simpson through the tunnels of time.	Simpson in the future and the past.
57	"In the 19th century, when Kashmir was the most exotic hill-station of them all, the maharaja forbade the British to buy land there, so they then hit on the brilliant alternative of building luxuriously appointed houseboats moored on the lakes near Srinagar."	The maharaja allowed the B to build houseboats on the lakes.	0	1	"In the 19th century, when Kashmir was the most exotic hill-station of them all, the maharaja forbade the British to buy land there, so they then hit on the brilliant alternative of building luxuriously appointed houseboats moored on the lakes near Srinagar."	The maharaja allowed the British to build houseboats on the lakes.
58	"'Don't worry,' he whispered."	He was o out.	2	0	"'Don't worry,' he whispered."	He was freaked out.
59	and uh we went through a time period that we had three Danes	"For three years, we had z Danes."	1	2	and uh we went through a time period that we had three Danes	"For three years, we had three Danes."
60	"The cuts will take the biggest bite out of Land of Lincoln, a network of eight offices and 40 lawyers who help clients in southern Illinois with problems like eviction, access to Social Security and obtaining orders of protection from abusive spouses."	"Land of Lincoln, a network of eight offices and 4 lawyers providing pro bono and reduced cost legal services in Illinois, will be significantly impacted by the cuts."	1	2	"The cuts will take the biggest bite out of Land of Lincoln, a network of eight offices and 40 lawyers who help clients in southern Illinois with problems like eviction, access to Social Security and obtaining orders of protection from abusive spouses."	"Land of Lincoln, a network of eight offices and 40 lawyers providing pro bono and reduced cost legal services in Illinois, will be significantly impacted by the cuts."
61	"The islands' names refer to the different force winds hitting them, not their topography."	The way the islands are called is t on the force of the a they experience.	0	1	"The islands' names refer to the different force winds hitting them, not their topography."	The way the islands are called is based on the force of the wins they experience.
62	He and his associates weren't operating at the level of metaphor.	His associates' t was operating at the level of the metaphor. 	2	0	He and his associates weren't operating at the level of metaphor.	His associates' boss was operating at the level of the metaphor. 
63	oh like if they say i i we just type it in like that	o it before typing it in.	2	0	oh like if they say i i we just type it in like that	Change it before typing it in.
64	"See you Aug. 12, or soon thereafter, we hope."	The person was x to attend on August 12.	1	2	"See you Aug. 12, or soon thereafter, we hope."	The person was going to attend on August 12.
65	in each square	On the o outline.	2	0	in each square	On the square outline.
66	"Also, disappointing earnings reports from Intel and other blue-chip companies in the two weeks leading up to the crash caused investors to question the value of entire portfolios."	Intel has had many disappointing c reports.	1	2	"Also, disappointing earnings reports from Intel and other blue-chip companies in the two weeks leading up to the crash caused investors to question the value of entire portfolios."	Intel has had many disappointing earning reports.
67	but there's no uh inscriptions or or dates or anything else	There aren't any c on it?	1	2	but there's no uh inscriptions or or dates or anything else	There aren't any dates on it?
68	"When the two nations divided it up, France got 54 sq km (21 sq miles) and Holland agreed to take just 41 sq km (16 sq miles), but that included the important salt pond near the Dutch capital of Philipsburg."	The French o up with control over the salt pound.	2	0	"When the two nations divided it up, France got 54 sq km (21 sq miles) and Holland agreed to take just 41 sq km (16 sq miles), but that included the important salt pond near the Dutch capital of Philipsburg."	The French ended up with control over the salt pound.
69	and uh as a matter of fact he's a draft dodger	"He's never s from the draft, even when it was most dire."	2	0	and uh as a matter of fact he's a draft dodger	"He's never shirked from the draft, even when it was most dire."
70	"If necessary to meeting the restrictions imposed in the preceding sentence, the Administrator shall reduce, pro rata, the basic Phase II allowance allocations for each unit subject to the requirements of section 414."	Section 414 helps a allowance allocations for each unit.	2	1	"If necessary to meeting the restrictions imposed in the preceding sentence, the Administrator shall reduce, pro rata, the basic Phase II allowance allocations for each unit subject to the requirements of section 414."	Section 414 helps higher allowance allocations for each unit.
71	"Maybe in that sense, the behavior of the Pippens and Iversons of the world is defensible."	Pippens and Iverson are n.	2	0	"Maybe in that sense, the behavior of the Pippens and Iversons of the world is defensible."	Pippens and Iverson are penguins.
72	no i i i don't i it completely beyond me i went to my under graduate uh education	"I can't remember, I did my g education."	1	0	no i i i don't i it completely beyond me i went to my under graduate uh education	"I can't remember, I did my undergraduate education."
73	they ought to take all them little misdemeanor people let them go let them go	they should T go all non-violent offenders	1	0	they ought to take all them little misdemeanor people let them go let them go	they should let go all non-violent offenders
74	"The village is tiny and a total contrast to the bustle of the Trenchtown ghetto in Kingston, where he lived as a recording superstar."	"He lived in Kingston, but he came from a tiny g."	1	2	"The village is tiny and a total contrast to the bustle of the Trenchtown ghetto in Kingston, where he lived as a recording superstar."	"He lived in Kingston, but he came from a tiny village."
75	(j) Promotional items a member receives as a consequence of using travel or transportation services procured by the United States or accepted pursuant to 31	A non-member can receive promotional items if they are from i and do not travel.	2	0	(j) Promotional items a member receives as a consequence of using travel or transportation services procured by the United States or accepted pursuant to 31	A non-member can receive promotional items if they are from Spain and do not travel.
76	"Second, Clinton hasn't used the bully pulpit to speak out against drug use nearly as often as his two predecessors did."	i Clinton used the bully pulpit to speak out against drug use.	2	0	"Second, Clinton hasn't used the bully pulpit to speak out against drug use nearly as often as his two predecessors did."	Hillary Clinton used the bully pulpit to speak out against drug use.
77	The Kal nodded.	The Kal then s its head t to side.	2	0	The Kal nodded.	The Kal then shook its head side to side.
78	Agency officials stated that copies of both the initial and the final analysis were submitted to the Chief Counsel for Advocacy at the Small Business Administration as required by section 605(b).	The Chief Counsel for Advocacy at the Small Business Administration did not t receive either of these analyses.	2	0	Agency officials stated that copies of both the initial and the final analysis were submitted to the Chief Counsel for Advocacy at the Small Business Administration as required by section 605(b).	The Chief Counsel for Advocacy at the Small Business Administration did not actually receive either of these analyses.
79	"appropriate agency representatives, help resolve"	"the right agency employees, s fix"	0	1	"appropriate agency representatives, help resolve"	"the right agency employees, help fix"
80	"In fact, the sloping shoulder was the noticeable feature of the new clothes of the Dior era, coming as it did immediately in the wake of the Joan Crawford/Rosalind Russell period and its vigorous shoulder padding."	C was known for their exquisite blazers with thick heavy shoulder pads. 	2	0	"In fact, the sloping shoulder was the noticeable feature of the new clothes of the Dior era, coming as it did immediately in the wake of the Joan Crawford/Rosalind Russell period and its vigorous shoulder padding."	Dior was known for their exquisite blazers with thick heavy shoulder pads. 
81	"INTEREST RATE - The price charged per unit of money borrowed per year, or other unit of time, usually expressed as a percentage."	Interest is almost l expressed in terms of percent. 	0	2	"INTEREST RATE - The price charged per unit of money borrowed per year, or other unit of time, usually expressed as a percentage."	Interest is almost always expressed in terms of percent. 
82	"The analysis also addresses the various alternatives to the final rule which were considered, including differing compliance or reporting requirements, use of performance rather than design standards, and an exemption for small entities from coverage of the rule."	The rule is t to change.	1	0	"The analysis also addresses the various alternatives to the final rule which were considered, including differing compliance or reporting requirements, use of performance rather than design standards, and an exemption for small entities from coverage of the rule."	The rule is subject to change.
83	and that you're very much right but the jury may or may not see it that way so you get a little anticipate you know anxious there and go well you know	"Even if you're correct, I think the jury would t up on that."	2	0	and that you're very much right but the jury may or may not see it that way so you get a little anticipate you know anxious there and go well you know	"Even if you're correct, I think the jury would pick up on that."
84	The conspiracy-minded allege that the chains also leverage their influence to persuade the big publishers to produce more blockbusters at the expense of moderate-selling books.	"Big publishers want to produce more high budget films, even if that means badly selling m."	1	0	The conspiracy-minded allege that the chains also leverage their influence to persuade the big publishers to produce more blockbusters at the expense of moderate-selling books.	"Big publishers want to produce more high budget films, even if that means badly selling books."
85	"Only trouble was, they had infinite ammunition...we only had so many bullets."	They had a g more bullets than we did.	0	2	"Only trouble was, they had infinite ammunition...we only had so many bullets."	They had a lot more bullets than we did.
86	"The park is a graceful and elegant expanse with fine views of the mountains, much loved by Dubliners since it was first opened to the public in 1747."	The park is okay and the views of the mountains are just o.	2	0	"The park is a graceful and elegant expanse with fine views of the mountains, much loved by Dubliners since it was first opened to the public in 1747."	The park is okay and the views of the mountains are just okay.
87	"IDPA's OIG's mission is to prevent, detect, and eliminate fraud, waste, abuse, and misconduct in various payment programs."	IDPA's OIG's mission is a and cares about payment programs.	0	1	"IDPA's OIG's mission is to prevent, detect, and eliminate fraud, waste, abuse, and misconduct in various payment programs."	IDPA's OIG's mission is clear and cares about payment programs.
88	well we bought this with credit too  well we found it with a clearance uh down in Memphis i guess and uh	We a non-sale items in Memphis on credit.	2	1	well we bought this with credit too  well we found it with a clearance uh down in Memphis i guess and uh	We bought non-sale items in Memphis on credit.
89	"The streets are crammed with vendors selling shrine offerings of sweets, curds, and coconut, as well as garlands and holy images."	a have lined the streets with torches and fires.	2	0	"The streets are crammed with vendors selling shrine offerings of sweets, curds, and coconut, as well as garlands and holy images."	Vendors have lined the streets with torches and fires.
90	He was waiting for the Scotland Yard men. 	The Scotland Yard men were x.	1	2	He was waiting for the Scotland Yard men. 	The Scotland Yard men were coming.
91	"Nowadays, a poverty lawyer working for one of New York's many agencies representing the indigent - including Legal Aid, the South Brooklyn Legal Services, the Lawyers Alliance for New York, InMotion, the Lawyers Committee for Human Rights, Volunteers of Legal Service, the Bronx Defenders and New York Lawyers for the Public Interest - might begin his or her career at $32,000 per annum, compared with the $125,000 average first-year associate salary at the city's larger firms."	Lawyers often move to p firms because they will work for x pay.	2	0	"Nowadays, a poverty lawyer working for one of New York's many agencies representing the indigent - including Legal Aid, the South Brooklyn Legal Services, the Lawyers Alliance for New York, InMotion, the Lawyers Committee for Human Rights, Volunteers of Legal Service, the Bronx Defenders and New York Lawyers for the Public Interest - might begin his or her career at $32,000 per annum, compared with the $125,000 average first-year associate salary at the city's larger firms."	Lawyers often move to larger firms because they will work for less pay.
92	The guidelines do not apply to inpatient hospital services and hospice services and will be used by Medicare fiscal intermediaries to determine the maximum allowable costs of the therapy services.	When it c to therapy services the policies and procedures are not relevant.	0	2	The guidelines do not apply to inpatient hospital services and hospice services and will be used by Medicare fiscal intermediaries to determine the maximum allowable costs of the therapy services.	When it comes to therapy services the policies and procedures are not relevant.
93	"The unintended side effect is radical, direct  In what other state do voters set the tax rates?"	There is a t side effect that was intended.	2	1	"The unintended side effect is radical, direct  In what other state do voters set the tax rates?"	There is a radical side effect that was intended.
94	"In 1923, Turkey broke away from the tired Ottoman rulers, and Kemal Ataturk rose to power on a wave of popular support."	Turkey was part of the o Empire until 1923.	0	2	"In 1923, Turkey broke away from the tired Ottoman rulers, and Kemal Ataturk rose to power on a wave of popular support."	Turkey was part of the Ottoman Empire until 1923.
95	oh that might be kind of interesting is it	I'm not sure if it will actually be g.	1	2	oh that might be kind of interesting is it	I'm not sure if it will actually be interesting.
96	(Cohen 1999) Although many observers would view this as an extreme step it could reduce costs and allow increased efficiencies.	They don't a to lower costs. 	2	0	(Cohen 1999) Although many observers would view this as an extreme step it could reduce costs and allow increased efficiencies.	They don't want to lower costs. 
97	"In addition, Saracens invaded the Provencal coast from North Africa, and Magyar armies attacked Lor?­raine and Bur?­gun?­dy."	The c of Mayar b an attack on Lorraine and Burgundy.	0	2	"In addition, Saracens invaded the Provencal coast from North Africa, and Magyar armies attacked Lor?­raine and Bur?­gun?­dy."	The armies of Mayar launched an attack on Lorraine and Burgundy.
98	'These are human lives.	These are a lives	0	1	'These are human lives.	These are Hunan lives
99	"Major journeys from one part of the country to another, say, from Milan to Rome or down to Naples, is most enjoyed by train buffs and travelers with plenty of time, patience, and curiosity."	"Train travel in Italy is generally a, making it a practical option for impatient travelers."	2	1	"Major journeys from one part of the country to another, say, from Milan to Rome or down to Naples, is most enjoyed by train buffs and travelers with plenty of time, patience, and curiosity."	"Train travel in Italy is generally quick, making it a practical option for impatient travelers."
100	but i don't know you know  maybe you could do that for a certain period of time but i mean how long does that kind of a thing take you know to to um say to question the person or to get into their head	It i take a long time to do that because getting inside a person's head takes time.	1	2	but i don't know you know  maybe you could do that for a certain period of time but i mean how long does that kind of a thing take you know to to um say to question the person or to get into their head	It might take a long time to do that because getting inside a person's head takes time.
101	"In addition to the arguments previously advanced by the Vice Presidentas representatives and addressed in our June 22 letter to the Counsel to the Vice President (see Enclosure 1), the Vice Presidentas August 2 letter to the Congress asserts that the study is not authorized by statute because GAO is limited to looking at the aresults- of programs and that GAO does not have a right of access to documents because the Vice President is not included under the term aagency- used in GAOas statute."	The Vice President believes that i shouldn't be able to read documents.	1	2	"In addition to the arguments previously advanced by the Vice Presidentas representatives and addressed in our June 22 letter to the Counsel to the Vice President (see Enclosure 1), the Vice Presidentas August 2 letter to the Congress asserts that the study is not authorized by statute because GAO is limited to looking at the aresults- of programs and that GAO does not have a right of access to documents because the Vice President is not included under the term aagency- used in GAOas statute."	The Vice President believes that GAO shouldn't be able to read documents.
102	"True devotees talk shop at even more specialized groups, such as one on Northeastern weather (ne.weather), whose recent conversation topics included the great blizzard of 1978 and the freak snowstorm of May 1977."	"0.weather is a general discussion group, not only about weather."	1	0	"True devotees talk shop at even more specialized groups, such as one on Northeastern weather (ne.weather), whose recent conversation topics included the great blizzard of 1978 and the freak snowstorm of May 1977."	"Ne.weather is a general discussion group, not only about weather. "
103	"And far, far away- lying still on the tracks- was the back of the train."	The train was t along the track. 	2	1	"And far, far away- lying still on the tracks- was the back of the train."	The train was speeding along the track. 
104	"I think it behooves Slate, in its effort to take over the public-opinion industry, to make a thorough effort to uncover the truth behind this unnatural connection."	Slate is obliged to launch an a.	1	2	"I think it behooves Slate, in its effort to take over the public-opinion industry, to make a thorough effort to uncover the truth behind this unnatural connection."	Slate is obliged to launch an investigation.
105	Why bother to sacrifice your lives for dirt farmers and slavers?	i sacrifice their lives for farmers and slaves.	1	0	Why bother to sacrifice your lives for dirt farmers and slavers?	People sacrifice their lives for farmers and slaves.
106	plus i like to dance you know	Plus I love to get my c on.	1	2	plus i like to dance you know	Plus I love to get my groove on.
107	i'm not sure what the overnight low was	It was 37 i last night.	2	0	i'm not sure what the overnight low was	It was 37 degrees last night.
108	All requests to provide live testimony at one of the two public hearings were granted.	u of the people who requested a live testimony ended up being dissapointed. 	2	0	All requests to provide live testimony at one of the two public hearings were granted.	Most of the people who requested a live testimony ended up being dissapointed. 
109	The last thing we want is any more attention or any more bounty hunters.	They waived their hands to y more attention.	2	0	The last thing we want is any more attention or any more bounty hunters.	They waived their hands to get more attention.
110	"There is a roller coaster up there as well, but experienced riders consider it too slow and uneventful despite the altitude."	The rollercoaster is too g for most people. 	1	2	"There is a roller coaster up there as well, but experienced riders consider it too slow and uneventful despite the altitude."	The rollercoaster is too slow for most people. 
111	"So unlike people who are fortunate enough to be able to afford attorneys and can go to another lawyer, our clients are simply lost in the legal system if they cannot get access to it from us."	We are the only hope our clients have for n assistance.	0	2	"So unlike people who are fortunate enough to be able to afford attorneys and can go to another lawyer, our clients are simply lost in the legal system if they cannot get access to it from us."	We are the only hope our clients have for legal assistance.
112	"In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design."	Hong Kong has a few unique g experiences.	1	2	"In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design."	Hong Kong has a few unique dining experiences.
113	"Don't expect to be swinging much after midnight, even in towns."	a stay open all night because it's a z to party.	2	0	"Don't expect to be swinging much after midnight, even in towns."	Things stay open all night because it's a place to party.
114	and oh okay and then went to Colorado	I had to move u to Nebraska just to survive.	2	0	and oh okay and then went to Colorado	I had to move back to Nebraska just to survive.
115	The door opened and Severn stepped out.	They were t for someone to n the s for them.	2	0	The door opened and Severn stepped out.	They were waiting for someone to open the door for them.
