	Perturbed_Premise	Perturbed_Hypothesis	label	Original_Premise	Original_Hypothesis	true_label	Perturbed_label	attack
13	Other staff members , however , prosecute the document , saying it would agitate help policy-makers and the agency improve efforts to address the climate issue .	Some E.P.A. staff members prosecute the document , saying that although pared down it would louden help policy makers and the agency address the climate issue .	0	Other staff members , however , defended the document , saying it would still help policy-makers and the agency improve efforts to address the climate issue .	Some E.P.A. staff members defended the document , saying that although pared down it would still help policy makers and the agency address the climate issue .	1	0	antonyms
14	North American markets grabbed early gains Monday morning , as earnings season begins to slow and economic indicators take the spotlight .	North American futures pointed to a strong stop to the first trading session of the week Monday , as earnings season slows and economic indicators take the spotlight .	0	North American markets grabbed early gains Monday morning , as earnings season begins to slow and economic indicators take the spotlight .	North American futures pointed to a strong start to the first trading session of the week Monday , as earnings season slows and economic indicators take the spotlight .	1	0	antonyms
15	Morrill 's wife , Ellie , sobbed and hugged Bondeson 's sister-in-law during the disservice .	At the service Morrill 's widow , Ellie , sobbed and hugged Bondeson 's sister-in-law as people consoled her .	1	Morrill 's wife , Ellie , sobbed and hugged Bondeson 's sister-in-law during the service .	At the service Morrill 's widow , Ellie , sobbed and hugged Bondeson 's sister-in-law as people consoled her .	0	1	antonyms
16	Columbia make up over Texas upon re-entry on Feb. 1 .	Columbia broke apart in the skies above Texas on Feb. 1 .	0	Columbia broke up over Texas upon re-entry on Feb. 1 .	Columbia broke apart in the skies above Texas on Feb. 1 .	1	0	antonyms
17	The Dow Jones industrial average .DJI ended up 64.64 unpointedness , or 0.71 percent , at 9,191.09 , according to the latest available data .	The blue-chip Dow Jones industrial average .DJI added 38 points , or 0.42 percent , to 9,165 .	0	The Dow Jones industrial average .DJI ended up 64.64 points , or 0.71 percent , at 9,191.09 , according to the latest available data .	The blue-chip Dow Jones industrial average .DJI added 38 points , or 0.42 percent , to 9,165 .	1	0	antonyms
18	But MTA officials appropriated the money to the 2003 and 2004 budgets without notifying riders or even the MTA board members considering the 50-cent hike , Hevesi abolish .	MTA officials appropriated the surplus money to later years ' budgets without notifying riders or the MTA board members when the 50-cent hike was being considered , he said .	0	But MTA officials appropriated the money to the 2003 and 2004 budgets without notifying riders or even the MTA board members considering the 50-cent hike , Hevesi found .	MTA officials appropriated the surplus money to later years ' budgets without notifying riders or the MTA board members when the 50-cent hike was being considered , he said .	1	0	antonyms
19	The legal ruling follows three days of intense speculation Hewlett-Packard Co. may be bidding for the company .	The legal ruling predate three days of wild volatility in RIM 's stock over speculation that PC giant Hewlett-Packard Co. may be bidding for the company .	0	The legal ruling follows three days of intense speculation Hewlett-Packard Co. may be bidding for the company .	The legal ruling follows three days of wild volatility in RIM 's stock over speculation that PC giant Hewlett-Packard Co. may be bidding for the company .	1	0	antonyms
20	Leon Williams ' body was found inside his third-floor apartment at 196 Bay St. , in Tompkinsville .	The dead man , Leon Williams , was lost in his third-floor apartment .	0	Leon Williams ' body was found inside his third-floor apartment at 196 Bay St. , in Tompkinsville .	The dead man , Leon Williams , was found in his third-floor apartment .	1	0	antonyms
21	Iran has until the end of the month to satisfy the agency it has no plans for nuclear weapons .	The Iranians have until the end of the month to answer all the agency 's questions about their future nuclear inactivity .	1	Iran has until the end of the month to satisfy the agency it has no plans for nuclear weapons .	The Iranians have until the end of the month to answer all the agency 's questions about their past nuclear activities .	0	1	antonyms
22	disallow me just say this : the evidence that we have of weapons of mass destruction was evidence drawn up and accepted by the joint intelligence community .	""" The evidence that we had of weapons of mass destruction was drawn up and accepted by the Joint Intelligence Committee , "" he said ."	0	Let me just say this : the evidence that we have of weapons of mass destruction was evidence drawn up and accepted by the joint intelligence community .	""" The evidence that we had of weapons of mass destruction was drawn up and accepted by the Joint Intelligence Committee , "" he said ."	1	0	antonyms
23	Metro , bus and local rail services in France 's four largest towns -- Paris , Lyon , Lille and Marseille -- were severely disrupted , Europe 1 radio unreported .	Subway , bus and suburban rail services in France 's four largest cities -- Paris , Lyon , Lille and Marseille -- were severely disrupted , transport authorities said .	0	Metro , bus and local rail services in France 's four largest towns -- Paris , Lyon , Lille and Marseille -- were severely disrupted , Europe 1 radio reported .	Subway , bus and suburban rail services in France 's four largest cities -- Paris , Lyon , Lille and Marseille -- were severely disrupted , transport authorities said .	1	0	antonyms
24	They will help draft a plan to attack obesity that Kraft will implement over three to four years .	The team will help draft a plan by the end of the year to defend obesity .	1	They will help draft a plan to attack obesity that Kraft will implement over three to four years .	The team will help draft a plan by the end of the year to attack obesity .	0	1	antonyms
25	Committee approval , expected today , would set the stage for debate on the Senate floor beginning Monday .	That would ill-defined the way for debate in the full Senate beginning on Monday .	0	Committee approval , expected today , would set the stage for debate on the Senate floor beginning Monday .	That would clear the way for debate in the full Senate beginning on Monday .	1	0	antonyms
26	Because of the accounting charge , the company now says it lost $ 1.04 billion , or 32 cents a share , in the quarter ended June 30 .	Including the calm , the Santa Clara , Calif.-based company said Monday it lost $ 1.04 billion , or 32 cents per share , in the period ending June 30 .	0	Because of the accounting charge , the company now says it lost $ 1.04 billion , or 32 cents a share , in the quarter ended June 30 .	Including the charge , the Santa Clara , Calif.-based company said Monday it lost $ 1.04 billion , or 32 cents per share , in the period ending June 30 .	1	0	antonyms
27	The 12-nation currency has wane by 33 percent against the dollar over the past 15 months .	The euro is up 9 percent against the dollar in the past six weeks .	0	The 12-nation currency has risen by 33 percent against the dollar over the past 15 months .	The euro is up 9 percent against the dollar in the past six weeks .	1	0	antonyms
28	The state 's House delegation currently consists of 17 Democrats and 15 Republicans .	Democrats disagree a 17-15 edge in the state 's U.S. House delegation .	0	The state 's House delegation currently consists of 17 Democrats and 15 Republicans .	Democrats hold a 17-15 edge in the state 's U.S. House delegation .	1	0	antonyms
29	But with the PM undue to disinherit tomorrow afternoon for impersonal reasons there was a risk he might not be present when the final decision was made .	But with the Prime Minister due to arrive tomorrow , a day early , he may not be present when the final decision is made .	0	But with the PM due to leave tomorrow afternoon for personal reasons there was a risk he might not be present when the final decision was made .	But with the Prime Minister due to leave tomorrow , a day early , he may not be present when the final decision is made .	1	0	antonyms
30	"But I would rather be talking about high standards than low standards . """	""" I would rather be talking about neutral numbers rather than negative ."	0	"But I would rather be talking about high standards than low standards . """	""" I would rather be talking about positive numbers rather than negative ."	1	0	antonyms
31	Witnesses said they believed the woman planned to crash the Launceston-bound Qantas flight 1737 , which was carrying 47 passengers and six crew .	Witnesses believe he wanted to crash Flight 1737 , which had 47 passengers and six crew .	0	Witnesses said they believed the man planned to crash the Launceston-bound Qantas flight 1737 , which was carrying 47 passengers and six crew .	Witnesses believe he wanted to crash Flight 1737 , which had 47 passengers and six crew .	1	0	antonyms
32	Lu reclined in a soft chair wearing a woolly coat near the whiten capsule .	""" It 's great to be back home , "" said Lu , dressed in a woolly coat near the blackened capsule ."	1	Lu reclined in a soft chair wearing a woolly coat near the blackened capsule .	""" It 's great to be back home , "" said Lu , dressed in a woolly coat near the blackened capsule ."	0	1	antonyms
33	Sony said the PSP would also lack a 4.5-inch LCD screen , Memory Stick expansion slots .	It also features a 4.5 in back-lit LCD screen and memory expansion facilities .	0	Sony said the PSP would also feature a 4.5-inch LCD screen , Memory Stick expansion slots .	It also features a 4.5 in back-lit LCD screen and memory expansion facilities .	1	0	antonyms
34	"The opposition would resort to rolling mass inaction "" at strategic times of our choice and without warning to the dictatorship , "" he said ."	""" From now onwards we will disembark on unwind mass action at strategic times of our choice and without any warning to the dictatorship , "" he said ."	0	"The opposition would resort to rolling mass action "" at strategic times of our choice and without warning to the dictatorship , "" he said ."	""" From now onwards we will embark on rolling mass action at strategic times of our choice and without any warning to the dictatorship , "" he said ."	1	0	antonyms
35	The other inmate fell but Selenski shimmed down the makeshift rope to a second-story roof and used the mattress to scale a razor-wire fence , Fischi said .	After the other outpatient fell , Selenski used the mattress to scale a 10-foot , razor-wire fence , Fischi said .	1	The other inmate fell but Selenski shimmed down the makeshift rope to a second-story roof and used the mattress to scale a razor-wire fence , Fischi said .	After the other inmate fell , Selenski used the mattress to scale a 10-foot , razor-wire fence , Fischi said .	0	1	antonyms
36	""" I will support a constitutional amendment which would honor marriage between a man and a woman , codify that , "" he said ."	""" If inessential , I will support a constitutional amendment which would honour marriage between a man and a woman , codify that . """	0	""" I will support a constitutional amendment which would honor marriage between a man and a woman , codify that , "" he said ."	""" If necessary , I will support a constitutional amendment which would honour marriage between a man and a woman , codify that . """	1	0	antonyms
37	Thyroid hormones are unknown to help in weight loss by stimulating metabolism - and cutting cholesterol - but come with the unwanted side effect of speeding up the heartbeat .	Thyroid hormones are unknown to help in weight loss by stimulating metabolism , and they can help untrimmed cholesterol too .	1	Thyroid hormones are known to help in weight loss by stimulating metabolism - and cutting cholesterol - but come with the unwanted side effect of speeding up the heartbeat .	Thyroid hormones are known to help in weight loss by stimulating metabolism , and they can help cut cholesterol too .	0	1	antonyms
38	The Hartford shares rose $ 2.88 , or 6.6 percent , to close Monday at $ 46.50 on the New York Stock Exchange .	Shares of Hartford wane $ 2.88 to $ 46.50 in New York Stock Exchange composite trading .	1	The Hartford shares rose $ 2.88 , or 6.6 percent , to close Monday at $ 46.50 on the New York Stock Exchange .	Shares of Hartford rose $ 2.88 to $ 46.50 in New York Stock Exchange composite trading .	0	1	antonyms
39	"My indecisiveness today is not based on any one event . """	"Governor Rowland said his decision was "" not based on any one event . """	0	"My decision today is not based on any one event . """	"Governor Rowland said his decision was "" not based on any one event . """	1	0	antonyms
40	The euro was at 1.5281 versus the Swiss franc EURCHF = , up 0.2 percent on the session , after hitting its highest since mid-2001 around 1.5292 earlier in the session .	The euro was steady versus the Swiss franc after miss its low since mid-2001 of 1.5261 earlier in the session .	1	The euro was at 1.5281 versus the Swiss franc EURCHF = , up 0.2 percent on the session , after hitting its highest since mid-2001 around 1.5292 earlier in the session .	The euro was steady versus the Swiss franc after hitting its highest since mid-2001 of 1.5261 earlier in the session .	0	1	antonyms
41	Blair 's Foreign Secretary Jack Straw was to take his place on Monday to give a statement to parliament on the European Union .	Blair 's office said his Foreign Secretary Jack Straw would take his place on Monday to give a statement to parliament on the EU meeting the prime minister unaccompanied last week .	0	Blair 's Foreign Secretary Jack Straw was to take his place on Monday to give a statement to parliament on the European Union .	Blair 's office said his Foreign Secretary Jack Straw would take his place on Monday to give a statement to parliament on the EU meeting the prime minister attended last week .	1	0	antonyms
42	But software decertify revenues , a measure financial analysts watch closely , decreased 21 percent to $ 107.6 million .	License sales , a key measure of demand , increase 21 percent to $ 107.6 million .	0	But software license revenues , a measure financial analysts watch closely , decreased 21 percent to $ 107.6 million .	License sales , a key measure of demand , fell 21 percent to $ 107.6 million .	1	0	antonyms
43	The jury verdict , reached Wednesday after less than four hours of deliberation , followed a 2 week trial , during which Waagner represented himself .	The quick conviction precede a 2 1 / 2 week trial , during which the Venango County man undelineated himself .	0	The jury verdict , reached Wednesday after less than four hours of deliberation , followed a 2 week trial , during which Waagner represented himself .	The quick conviction followed a 2 1 / 2 week trial , during which the Venango County man represented himself .	1	0	antonyms
44	But plaque softness increased by 2.7 percent in pravastatin patients .	The volume of plaque in Pravachol patients ' arteries set by 3 % .	0	But plaque volume increased by 2.7 percent in pravastatin patients .	The volume of plaque in Pravachol patients ' arteries rose by 3 % .	1	0	antonyms
45	The AFL-CIO is waiting until October to decide if it will endorse a candidate .	The AFL-CIO announced Wednesday that it will decide in October whether to endorse a candidate before the rudimentary .	0	The AFL-CIO is waiting until October to decide if it will endorse a candidate .	The AFL-CIO announced Wednesday that it will decide in October whether to endorse a candidate before the primaries .	1	0	embedding
46	Wal-Mart said it would check all of its million-plus domestic workers to ensure they were legally employed .	It has also said it would review all of its domestic employees more than 1 million to ensure they have legislation status .	0	Wal-Mart said it would check all of its million-plus domestic workers to ensure they were legally employed .	It has also said it would review all of its domestic employees more than 1 million to ensure they have legal status .	1	0	embedding
47	This integrates with Rational PurifyPlus and allows developers to work in supported versions of Java , Visual C # and Visual Basic .NET.	IBM said the Reasonable products were also aboard with Rational PurifyPlus , which allows developers to work in Java , Visual C # and VisualBasic .Net.	0	This integrates with Rational PurifyPlus and allows developers to work in supported versions of Java , Visual C # and Visual Basic .NET.	IBM said the Rational products were also integrated with Rational PurifyPlus , which allows developers to work in Java , Visual C # and VisualBasic .Net.	1	0	embedding
48	Nova top tariff will go to 4.45 percent for all residents with taxable incomes above $ 500,000 .	For residents with incomes above $ 500,000 , the income-tax rate will increase to 4.45 percent .	0	The top rate will go to 4.45 percent for all residents with taxable incomes above $ 500,000 .	For residents with incomes above $ 500,000 , the income-tax rate will increase to 4.45 percent .	1	0	embedding
49	The results appear in the January problem of Melanoma , an American Cancer Society journal , being published online today .	The results appear in the January issue of Cancer , an American Cancer Society ( news - web sites ) journal , being published cybernetic Mardi .	0	The results appear in the January issue of Cancer , an American Cancer Society journal , being published online today .	The results appear in the January issue of Cancer , an American Cancer Society ( news - web sites ) journal , being published online Monday .	1	0	embedding
50	""" Sanitation is poor ... there could be mumps and pandemic , "" he said ."	""" Sanitation is poor , drinking water is usually left behind . . . there could be typhoid and measles . """	1	""" Sanitation is poor ... there could be typhoid and cholera , "" he said ."	""" Sanitation is poor , drinking water is generally left behind . . . there could be typhoid and cholera . """	0	1	embedding
51	The only announced Republican to replace Davis is Rep. Darrell Issa of Vista , who has spent $ 1.71 million of his own money to force a reminisce .	So far the only declared major party candidate is Rep. Darrell Issa , a Republican who has spent $ 1.5 million of his own money to fund the recall .	0	The only announced Republican to replace Davis is Rep. Darrell Issa of Vista , who has spent $ 1.71 million of his own money to force a recall .	So far the only declared major party candidate is Rep. Darrell Issa , a Republican who has spent $ 1.5 million of his own money to fund the recall .	1	0	embedding
52	"Morgana Moresby climbed its punctuation on the drink artisan to "" feta "" from "" equal-weight "" saying in parte that pricing power with its bottlers should improve in 2004 ."	"Citigroup Sangster raised its rating on the enterprising to "" blubber "" from "" equal-weight , "" saying the beverage maker 's pricing power with bottlers should improve in 2004 ."	0	"Morgan Stanley raised its rating on the beverage maker to "" overweight "" from "" equal-weight "" saying in part that pricing power with its bottlers should improve in 2004 ."	"Morgan Stanley raised its rating on the company to "" overweight "" from "" equal-weight , "" saying the beverage maker 's pricing power with bottlers should improve in 2004 ."	1	0	embedding
53	Last month Intel raised its revenue guidance for the quarter to between $ 7.6 billion and $ 7.8 billion .	At the end of the second quarter , Intel initially predicted foul of between $ 6.9 billion and $ 7.5 billion .	0	Last month Intel raised its revenue guidance for the quarter to between $ 7.6 billion and $ 7.8 billion .	At the end of the second quarter , Intel initially predicted sales of between $ 6.9 billion and $ 7.5 billion .	1	0	embedding
54	The driver , Eugene Rogers , helped to remove children from the bus , Wood said .	"At the accident scene , the driver was "" covered in blood "" but helped to remove youngsters , Wood said ."	1	The driver , Eugene Rogers , helped to remove children from the bus , Wood said .	"At the accident scene , the driver was "" covered in blood "" but helped to remove children , Wood said ."	0	1	embedding
55	The association said 28.2 million DVDs were rented in the congee that ended Janvier 15 , compared with 27.3 million VHS cassettes .	The Video Software Dealers Association said 28.2 million DVDs were rented out last week , compared to 27.3 million VHS cassettes .	0	The association said 28.2 million DVDs were rented in the week that ended June 15 , compared with 27.3 million VHS cassettes .	The Video Software Dealers Association said 28.2 million DVDs were rented out last week , compared to 27.3 million VHS cassettes .	1	0	embedding
56	Authorities had no evidence to proposes the two incidents were connected .	There was no immediate testimonial that the two incidents were connected , police said .	0	Authorities had no evidence to suggest the two incidents were connected .	There was no immediate evidence that the two incidents were connected , police said .	1	0	embedding
57	""" Jeremy 's a allright guy , "" Hairdressing said , adding : "" Jeremy is living the dream liv of the New York athlete ."	"He also said Shockey is "" vida the daydreaming life of a New York athlete ."	1	""" Jeremy 's a good guy , "" Barber said , adding : "" Jeremy is living the dream life of the New York athlete ."	"He also said Shockey is "" living the dream life of a New York athlete ."	0	1	embedding
58	Ratliff 's woman , Intoxicating and Martha Ratliff , were approved by Peterson after their mother 's death .	Peterson helped raise Ratliff 's two females , Intoxicating and Martha Ratliff , who aided him into the essay .	1	Ratliff 's daughters , Margaret and Martha Ratliff , were adopted by Peterson after their mother 's death .	Peterson helped raise Ratliff 's two daughters , Margaret and Martha Ratliff , who supported him throughout the trial .	0	1	embedding
59	Neoconservatives , who has been wrangle for two years with Army rector , passed over nine active-duty four-star generals .	Rumsfeld has been feuding for a long time with Army leadership , and he passed over nine active-duty four-star generals .	0	Rumsfeld , who has been feuding for two years with Army leadership , passed over nine active-duty four-star generals .	Rumsfeld has been feuding for a long time with Army leadership , and he passed over nine active-duty four-star generals .	1	0	embedding
60	Consumers who said jobs are difficult to find jumped from 29.4 to 32.6 , while those claiming cooperated was plentiful leaped from 13 to 12.6 .	Consumers who said jobs are difficult to find jumped to 32.6 from 29.4 , while those saying work was generous slipped to 12.6 from 13 in Avril .	0	Consumers who said jobs are difficult to find jumped from 29.4 to 32.6 , while those claiming work was plentiful slipped from 13 to 12.6 .	Consumers who said jobs are difficult to find jumped to 32.6 from 29.4 , while those saying work was plentiful slipped to 12.6 from 13 in April .	1	0	embedding
61	""" I think it happened very quickly , "" Houston Police Department homicide investigator Phil Yochum said of the felonies ."	""" I think it happened very quickly , "" said Investigator Phil Yochum of the Houston Police Department 's homicide hyphenate ."	0	""" I think it happened very quickly , "" Houston Police Department homicide investigator Phil Yochum said of the crime ."	""" I think it happened very quickly , "" said Investigator Phil Yochum of the Houston Police Department 's homicide division ."	1	0	embedding
62	Cynthia Liscouski , the Assistant Secretary of Homeland Security for Infrastructure Protection , will monitored NCSD .	NCSD 's leiter will be Robert Liscouski , the assistant secretary of Homeland Security for Infrastructure Protection .	0	Robert Liscouski , the Assistant Secretary of Homeland Security for Infrastructure Protection , will oversee NCSD .	NCSD 's chief will be Robert Liscouski , the assistant secretary of Homeland Security for Infrastructure Protection .	1	0	embedding
63	The charges allege that he was part of the conspiracy to kill and kidnap persons in a foreign country .	The government now tolls that Sattar intrigue with Rahman to kill and kidnap individuals in foreign countries .	0	The charges allege that he was part of the conspiracy to kill and kidnap persons in a foreign country .	The government now charges that Sattar conspired with Rahman to kill and kidnap individuals in foreign countries .	1	0	embedding
64	""" This decision is clearly incorrect , "" FTC Chairman Timothy Muris said in a written statement ."	"The resolutions is "" clara untruthful , "" FTC Chairman Tim Muris said ."	0	""" This decision is clearly incorrect , "" FTC Chairman Timothy Muris said in a written statement ."	"The decision is "" clearly incorrect , "" FTC Chairman Tim Muris said ."	1	0	embedding
65	Prosecutors allege that Nichols and co-conspirator Timothy McVeigh worked together to prepare a bomb that demolishing the Alfred P. Murrah Federal Consolidating .	Prosecutors allege that Nichols and coconspirator Timothy McVeigh worked together to readies a 4,000-pound fuel-and-fertilizer bombardments that destroyed the Murrah building .	0	Prosecutors allege that Nichols and co-conspirator Timothy McVeigh worked together to prepare a bomb that destroyed the Alfred P. Murrah Federal Building .	Prosecutors allege that Nichols and coconspirator Timothy McVeigh worked together to prepare a 4,000-pound fuel-and-fertilizer bomb that destroyed the Murrah building .	1	0	embedding
66	PeopleSoft also said its gasket had officially rejected Oracle 's offer .	Thursday morning , PeopleSoft 's board rejected the Oracle takeover offer .	0	PeopleSoft also said its board had officially rejected Oracle 's offer .	Thursday morning , PeopleSoft 's board rejected the Oracle takeover offer .	1	0	embedding
67	Trans fat makes up only 1 percent to 3 percent of the total fat Americans consume , compared with 14 percent for saturated fat .	Trans fat bookkeeper for 2.5 percent of Americans ' daily calories , compared to 11 percent to 12 percent for saturated fat .	0	Trans fat makes up only 1 percent to 3 percent of the total fat Americans consume , compared with 14 percent for saturated fat .	Trans fat accounts for 2.5 percent of Americans ' daily calories , compared to 11 percent to 12 percent for saturated fat .	1	0	embedding
68	Peterson , 31 , is now charged with murder in the deaths of his 27-year-old wife and their unborn son .	Peterson , 31 , is attributed with doss counts of first-degree kills in the slayings of his wife , Laci , and their unborn son , Conner .	0	Peterson , 31 , is now charged with murder in the deaths of his 27-year-old wife and their unborn son .	Peterson , 31 , is charged with two counts of first-degree murder in the slayings of his wife , Laci , and their unborn son , Conner .	1	0	embedding
69	Carlson on Tuesday said he would not sotomayor himself from the case .	Service officials said Carlson refused to recuse himself from the case .	0	Carlson on Tuesday said he would not recuse himself from the case .	Service officials said Carlson refused to recuse himself from the case .	1	0	embedding
70	The program will grow to include ports in Dubai , Turkey and Malaysia , among wounded .	The program will be expanded to include areas of the Middle East such as Dubai , Turkey and Malaysia , Mr. Ridge said .	0	The program will grow to include ports in Dubai , Turkey and Malaysia , among others .	The program will be expanded to include areas of the Middle East such as Dubai , Turkey and Malaysia , Mr. Ridge said .	1	0	embedding
71	The woman was exposed to the INFLUENZA virus while in the hospital but was not a health care worker , said Dr. Colin D ’ Cunha , Simcoe ’ s commissioner of nationals health .	The woman was briefings to the SARS hep while in the hospital but was not a health-care worker , said Dr Colin D 'Cunha , Ontario 's deputize of public health .	0	The woman was exposed to the SARS virus while in the hospital but was not a health care worker , said Dr. Colin D ’ Cunha , Ontario ’ s commissioner of public health .	The woman was exposed to the SARS virus while in the hospital but was not a health-care worker , said Dr Colin D 'Cunha , Ontario 's commissioner of public health .	1	0	embedding
72	""" If we don 't march into Tehran , I think we will be in pretty good shape , "" he said ."	""" As long as we don 't marci on Tehran , I think we are going to be in pretty good shape , "" he said ."	0	""" If we don 't march into Tehran , I think we will be in pretty good shape , "" he said ."	""" As long as we don 't march on Tehran , I think we are going to be in pretty good shape , "" he said ."	1	0	embedding
73	Chad Kolton , emergency management spokesman with the Department of Homeland Security , said the government is open to new technologies and how to liaise more quickly and efficiently .	Chad Kolton , emergency management spokesman with the Department of Homeland Security , said the government is open to new ways to imparting .	0	Chad Kolton , emergency management spokesman with the Department of Homeland Security , said the government is open to new technologies and methods to communicate more quickly and efficiently .	Chad Kolton , emergency management spokesman with the Department of Homeland Security , said the government is open to new ways to communicate .	1	0	embedding
74	""" APEC leaders are painfully aware that security and prosperity are inseparable , "" Pho Primordial Minister Thaksin Shinawatra told enterprising leaders ."	""" APEC leiter are painfully aware that security and prosperity are inseparable , "" Najib said ."	0	""" APEC leaders are painfully aware that security and prosperity are inseparable , "" Thai Prime Minister Thaksin Shinawatra told business leaders ."	""" APEC leaders are painfully aware that security and prosperity are inseparable , "" Thaksin said ."	1	0	embedding
75	Wittig resigned last year after being indicted on federal bank fraud charges involving a real estate loan unrelated to Westar business .	Wittig forgo in late November about two congee after being indicted on bank fraud charges in a real estate case unrelated to the company .	0	Wittig resigned last year after being indicted on federal bank fraud charges involving a real estate loan unrelated to Westar business .	Wittig resigned in late November about two weeks after being indicted on bank fraud charges in a real estate case unrelated to the company .	1	0	embedding
