index	sentence	label	Original text	perturbed_label	attack
30	it 's just involving superficial -- a movie that has all the elements necessary to be a never , disappointingly character study , but fascinating does more than scratch the surface . 	0	it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . 	1	WordInnerSwapRandom
31	this is a misfits of two story who do n't stand a together magnificent , but chance they are alone . 	1	this is a story of two misfits who do n't stand a chance alone , but together they are magnificent . 	0	WordInnerSwapRandom
32	has schaeffer to middle-aged some hook movies which to hang his of useless on , and it might as character be the resuscitation persistently the find well . 	0	schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . 	1	WordInnerSwapRandom
33	the primitive the of this film seems to up bubble from the vast collective memory of force combatants . 	1	the primitive force of this film seems to bubble up from the vast collective memory of the combatants . 	0	WordInnerSwapRandom
34	on this tricky topic , much is very tadpole with step in blend right frankness , a its the of direction , civility and compassion . 	1	on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion . 	0	WordInnerSwapRandom
35	the script kicks in , and mr. hartley 's distended follow and foot-dragging rhythms pace . 	0	the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . 	1	WordInnerSwapRandom
36	you full-length why enough was n't just than music video rather a a wonder movie . 	0	you wonder why enough was n't just a music video rather than a full-length movie . 	1	WordInnerSwapRandom
37	humor you 're this up for raunchy college if , hard is your ticket right here . 	1	if you 're hard up for raunchy college humor , this is your ticket right here . 	0	WordInnerSwapRandom
38	good old-fashioned is slash-and-hack back ! 	1	good old-fashioned slash-and-hack is back ! 	0	WordInnerSwapRandom
39	for all its impressive craftsmanship , and despite never overbearing series of third-act crescendos , lily chou-chou an really builds up a head of emotional steam . 	0	for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . 	1	WordInnerSwapRandom
40	creepiest of in , scariest movies to come along one a long , long time , easily rivaling blair witch or the others . 	1	one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others . 	0	WordInnerSwapRandom
41	moments son 'gentility room is earns triumph of s that a its the of pathos . 	1	the son 's room is a triumph of gentility that earns its moments of pathos . 	0	WordInnerSwapRandom
42	there is nothing outstanding about this film , will it is good enough and but likely be appreciated most by sailors and folks who know their way around a submarine . 	1	there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine . 	0	WordInnerSwapRandom
43	this is a train flashes of an action film -- a stupefying and by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet favor in of bright wreck attempt loud bangs .	0	this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs .	1	WordInnerSwapRandom
44	for draw ( arliss `` big love solid '' ) is howard bad by performance the a . 	1	the draw ( for `` big bad love '' ) is a solid performance by arliss howard . 	0	WordInnerSwapRandom
45	green way want to hang onto to ski the , as robbery only be mask may might that pay for next his project . 	0	green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project . 	1	WordInnerSwapRandom
46	it 's one pussy-ass even when world killer-thrillers revolve around group therapy sessions . 	0	it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions . 	1	WordInnerSwapRandom
47	to it 's become almost redundant to say so , major kudos go though leigh for actually casting people who look working-class . 	1	though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . 	0	WordInnerSwapRandom
48	the band 's official in face the of courage repression hippies inspiring , one especially aging is ( this for included ) . 	1	the band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) . 	0	WordInnerSwapRandom
49	an movie did as impact the quills by keeping these thoughts hidden as ... ( great ) achieves by showing them . 	1	the movie achieves as great an impact by keeping these thoughts hidden as ... ( quills ) did by showing them . 	0	WordInnerSwapRandom
50	the when flat lines film missed should peak and is more it opportunity and than trifle dark , decadent truffle . 	0	the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . 	1	WordInnerSwapRandom
51	jaglom ... put ( s ) the audience in the privileged position of characters on his eavesdropping 	1	jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters 	0	WordInnerSwapRandom
52	fresnadillo 's dark and jolting images that a way of plying into your subconscious like go nightmare you had a week ago have wo n't the away . 	1	fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . 	0	WordInnerSwapRandom
53	we know the plot 's a little crazy , my it held but interest from start to finish . 	1	we know the plot 's a little crazy , but it held my interest from start to finish . 	0	WordInnerSwapRandom
54	it 's a when brilliant , but mark it hits its scattershot it 's affair . 	1	it 's a scattershot affair , but when it hits its mark it 's brilliant . 	0	WordInnerSwapRandom
55	interesting a masterpiece , but it real viewers to good a charitable enterprise and people hardly introduces some . 	1	hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people . 	0	WordInnerSwapRandom
56	reduces reveals his characters in a way that intrigues never even fascinates us , and he melodrama byler the situation to simple and . 	1	byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama . 	0	WordInnerSwapRandom
57	it 's difficult a imagine the process that produced such to here , but script 's crucial that spray cheese and underarm noises played a guessing role . 	0	it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . 	1	WordInnerSwapRandom
58	no sophomore who for director sam mendes , slump hand from oscar winner to oscar-winning potential of a smooth sleight with segues . 	1	no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand . 	0	WordInnerSwapRandom
59	its the banality , the movie on wit , feeling and believability to compensate for lacks incessant coarseness and whole . 	0	on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality . 	1	WordInnerSwapRandom
60	formula parker quirky donovan is a typical romantic lead , but they bring a fresh , nor charm to the neither . 	1	neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula . 	0	WordInnerSwapRandom
61	his last movie was poetically romantic and full of indelible images , for his latest has nothing going but it . 	0	his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . 	1	WordInnerSwapRandom
62	does paint some characters images ... , but makhmalbaf keeps her distance from the memorable 	1	does paint some memorable images ... , but makhmalbaf keeps her distance from the characters 	0	WordInnerSwapRandom
63	it 's one patient those baseball pictures where the hero is stoic , the wife is of , the kids are as cute as all get-out and the odds against success are but enough to intimidate , long short enough to make a dream seem possible . 	1	it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . 	0	WordInnerSwapRandom
64	combining quick-cut shooting s blaring a heavy system much he the time , beck seems to be latest the a of of 'the editing and under video that illusion down metal . 	0	combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . 	1	WordInnerSwapRandom
65	uncomplicated affable 'plot with movie relatively and cast morality play the s the simple well . 	1	the movie 's relatively simple plot and uncomplicated morality play well with the affable cast . 	0	WordInnerSwapRandom
66	either the director worth n't personas is make what interesting val kilmer 's two do of or ca caring about . 	0	what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about . 	1	WordInnerSwapRandom
67	too are , the viewer is in reacting to humor so much as they often wincing back n't repugnance . 	0	too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance . 	1	WordInnerSwapRandom
68	it 'never great escapist fun that recreates a place and time that will s happen again . 	1	it 's great escapist fun that recreates a place and time that will never happen again . 	0	WordInnerSwapRandom
69	scores intelligence points for originality , wit , or no . 	0	scores no points for originality , wit , or intelligence . 	1	WordInnerSwapRandom
70	there is appealing nearly enough fun here , despite the presence of some n't ingredients . 	0	there is n't nearly enough fun here , despite the presence of some appealing ingredients . 	1	WordInnerSwapRandom
71	it haunts you , you ca n't admire it , you forget its conception some are able to resolve and of the confusions you had while watching it . 	1	it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it . 	0	WordInnerSwapRandom
72	on of the smartest in one singles culture i 've seen takes a long time . 	1	one of the smartest takes on singles culture i 've seen in a long time . 	0	WordInnerSwapRandom
73	moody , heartbreaking , and filmed in a when , unforced style that makes its characters seem entirely convincing even natural its script is not . 	1	moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not . 	0	WordInnerSwapRandom
74	comes ... the the to coasting in close thief of uncomfortably bicycle treads . 	0	comes ... uncomfortably close to coasting in the treads of the bicycle thief . 	1	WordInnerSwapRandom
75	old-form moviemaking at best its . 	1	old-form moviemaking at its best . 	0	WordInnerSwapRandom
76	turns potentially strangely formula into something forgettable diverting . 	1	turns potentially forgettable formula into something strangely diverting . 	0	WordInnerSwapRandom
77	( lawrence bounces ) all over the stage , dancing , brought , sweating , mopping his face and generally displaying the wacky talent that running him fame in the first place . 	1	( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . 	0	WordInnerSwapRandom
78	confirms even in suspicion that ethan hawke would be the it behind the camera than he is nagging front of worse . 	0	confirms the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it . 	1	WordInnerSwapRandom
79	in the end , with are left we something like the any passing in two night rather than ships insights into gay love , chinese society or the price one pays for being dishonest . 	0	in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest . 	1	WordInnerSwapRandom
80	montias ... pumps a lot of stereotyped into not nicely nuanced narrative and surrounds himself with a cast of quirky -- but his energy -- street characters . 	1	montias ... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters . 	0	WordInnerSwapRandom
81	compelling from the suffers of a lack or comprehensible narrative . 	0	suffers from the lack of a compelling or comprehensible narrative . 	1	WordInnerSwapRandom
82	in less , this clever idea is far execution funny than the original , killers from space . 	0	in execution , this clever idea is far less funny than the original , killers from space . 	1	WordInnerSwapRandom
83	hold tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the is legendary of asian hitmen , most too scattershot to take the . 	0	the tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold . 	1	WordInnerSwapRandom
84	it relationship a on s interminably it 'so real watching drags miserable all unfold in like time . 	0	it all drags on so interminably it 's like watching a miserable relationship unfold in real time . 	1	WordInnerSwapRandom
85	pumpkin exceed to be an outrageous dark satire on fraternity life , but its ambitions far means the abilities of writer adam larson broder and his co-director , tony r. abrams , in their feature debut . 	0	pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far exceed the abilities of writer adam larson broder and his co-director , tony r. abrams , in their feature debut . 	1	WordInnerSwapRandom
86	the better feels like a project and suited for looks small screen . 	0	looks and feels like a project better suited for the small screen . 	1	WordInnerSwapRandom
87	s 'ultimate movie the it depression-era gangster not . 	0	it 's not the ultimate depression-era gangster movie . 	1	WordInnerSwapRandom
88	wealth the value of its sacrifices of archival foot-age with its less-than-objective stance . 	0	sacrifices the value of its wealth of archival foot-age with its less-than-objective stance . 	1	WordInnerSwapRandom
89	character the not zigzag is of support developed to around a film constructed sufficiently him . 	0	the character of zigzag is not sufficiently developed to support a film constructed around him . 	1	WordInnerSwapRandom
90	not ( hill ) has learned lifeless tricks , the tricks alone are while enough to salvage this new boxing film . 	0	while ( hill ) has learned new tricks , the tricks alone are not enough to salvage this lifeless boxing film . 	1	WordInnerSwapRandom
91	the best that can be said about the work here of scottish director ritchie ... is n't he obviously does that have his heart in it . 	0	the best that can be said about the work here of scottish director ritchie ... is that he obviously does n't have his heart in it . 	1	WordInnerSwapRandom
92	s a manga-like heroine who it back at her abusers , fights 'about and if satisfying and not deep energetic psychological . 	1	about a manga-like heroine who fights back at her abusers , it 's energetic and satisfying if not deep and psychological . 	0	WordInnerSwapRandom
93	much talented and clever robert rodriguez perhaps put a little too the heart into his first film and did n't reserve enough for his second . 	0	the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did n't reserve enough for his second . 	1	WordInnerSwapRandom
94	thrills too the and of underground produce to formulaic transgressive feels work early familiar too . 	0	feels too formulaic and too familiar to produce the transgressive thrills of early underground work . 	1	WordInnerSwapRandom
95	seems volatile dynamics of female friendship is the subject that this unhurried , low-key film of is so off-hollywood that it the positively french resonance its rhythms and in . 	1	the volatile dynamics of female friendship is the subject of this unhurried , low-key film that is so off-hollywood that it seems positively french in its rhythms and resonance . 	0	WordInnerSwapRandom
96	trying overall s to very do 'good what for it . 	1	overall very good for what it 's trying to do . 	0	WordInnerSwapRandom
97	film difficult , absorbing a that manages to convey more substance most its repetitions and inconsistencies than do despite films than are far more pointed and clear . 	1	a difficult , absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear . 	0	WordInnerSwapRandom
98	crisis solid examination of the a midlife male . 	1	a solid examination of the male midlife crisis . 	0	WordInnerSwapRandom
99	a sad date lack a half-formed critical done liberal nightmare disservice by a with wit of distance and a great trust in a arts college bumper sticker platitudes . 	0	a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes . 	1	WordInnerSwapRandom
100	allows us to say that nolan is poised to embark a major career as a tute yet ante her . 	1	allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . 	0	WordSwapMaskedLM
101	the acting , costumes , music , cinematography and sound are all udy given the production 's austere locales . 	1	the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . 	0	WordSwapMaskedLM
102	a lly win film . 	0	a sometimes tedious film . 	1	WordSwapMaskedLM
103	even horror ers will most likely not find what they 're set with trouble every time ; the movie izes both ability and sibility . 	0	even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . 	1	WordSwapMaskedLM
104	pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven ity that you never know when dom ends and tragedy begins . 	0	pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . 	1	WordSwapMaskedLM
105	the iditarod s for ay - this just felt like it did . 	0	the iditarod lasts for days - this just felt like it did . 	1	WordSwapMaskedLM
106	nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from y mes to raunchy sex gags to rky romantic comedy . 	0	nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . 	1	WordSwapMaskedLM
107	i had to look away - this was god ie . 	0	i had to look away - this was god awful . 	1	WordSwapMaskedLM
108	... designed to provide a mix of s and ffs , `` crossroads '' s provokes a handful of t ly and numerous s . 	0	... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . 	1	WordSwapMaskedLM
109	the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation ate . 	1	the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . 	0	WordSwapMaskedLM
110	( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild a is in on the thrills the oversize medium ed . 	0	( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . 	1	WordSwapMaskedLM
111	as surreal as a dream and as fying as a photograph , as visually uring as it is at times ly overwhelming . 	1	as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . 	0	WordSwapMaskedLM
112	escaping the studio , piccoli is warmly bana and so is this sily op ist . 	1	escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . 	0	WordSwapMaskedLM
113	the title not only fies its main characters , but the lazy s behind the camera as well . 	0	the title not only describes its main characters , but the lazy people behind the camera as well . 	1	WordSwapMaskedLM
114	it offers cend beyond the momentary joys of pretty and weightless intellectual entertainment . 	0	it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . 	1	WordSwapMaskedLM
115	for the most part , ʁ ɐ birot 's first name is a yra , extraordinarily tive gn . 	1	for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . 	0	WordSwapMaskedLM
116	mr. tsai is a very original ity in his tology , and what time is it there ? 	1	mr. tsai is a very original artist in his medium , and what time is it there ? 	0	WordSwapMaskedLM
117	so wn of any lance of intelligible ity that it makes films like xxx and collateral ture o a thoughtful treatises 	0	so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises 	1	WordSwapMaskedLM
118	a tender , tive gas er . 	1	a tender , heartfelt family drama . 	0	WordSwapMaskedLM
119	the th born s 've been a far ier na . 	0	the cold turkey would 've been a far better title . 	1	WordSwapMaskedLM
120	the primitive force of this film seems to bubble up from the vast less memory of the combatants . 	1	the primitive force of this film seems to bubble up from the vast collective memory of the combatants . 	0	WordSwapMaskedLM
121	l y slash-and-hack is back ! 	1	good old-fashioned slash-and-hack is back ! 	0	WordSwapMaskedLM
122	for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou z really builds up a head of emotional steam . 	0	for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . 	1	WordSwapMaskedLM
123	uses stick y to evoke ppy ness . 	1	uses high comedy to evoke surprising poignance . 	0	WordSwapMaskedLM
124	one of creepiest , iest s to ttering along in a long , long time , easily rivaling blair witch or the sz . 	1	one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others . 	0	WordSwapMaskedLM
125	the son 's room is a haus of gentility that udes its moments of pathos . 	1	the son 's room is a triumph of gentility that earns its moments of pathos . 	0	WordSwapMaskedLM
126	it 's one ish ness when even s not y l y ness . 	0	it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions . 	1	WordSwapMaskedLM
127	though it 's become almost redundant to say so , major ins go to leigh for actually casting people who look working-class . 	1	though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . 	0	WordSwapMaskedLM
128	the film s works when it should peak and is more atz out and trifle than dark , decadent truffle . 	0	the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . 	1	WordSwapMaskedLM
129	fresnadillo 's dark and rky d have a way of plying into your subconscious like the nightmare you had a week ago that wo t go away . 	1	fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . 	0	WordSwapMaskedLM
130	no sophomore su for director sam mendes , who segues from oscar winner to oscar-winning potential with a y sleight of hand . 	1	no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand . 	0	WordSwapMaskedLM
131	does paint some memorable images ... , but makhmalbaf keeps her oof from the characters 	1	does paint some memorable images ... , but makhmalbaf keeps her distance from the characters 	0	WordSwapMaskedLM
132	what the l s es do is make either of val i 's two ties interesting or worth while about . 	0	what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about . 	1	WordSwapMaskedLM
133	( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally uting the wacky talent that brought him fame in the first place . 	1	( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . 	0	WordSwapMaskedLM
134	montias ... ject a lot of energy into his ly cans narrative and fus himself with a cast of typical -- but not stereotyped -- street pers . 	1	montias ... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters . 	0	WordSwapMaskedLM
135	pumpkin means to be an outrageous dark satire on fraternity life , but its chon far ing the abilities of writer adam larson broder and his co-director , tony r. abrams , in their feature debut . 	0	pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far exceed the abilities of writer adam larson broder and his co-director , tony r. abrams , in their feature debut . 	1	WordSwapMaskedLM
136	looks and feels like a project able suited for the small folk . 	0	looks and feels like a project better suited for the small screen . 	1	WordSwapMaskedLM
137	about a manga-like heroine who ps ych at her abusers , it 's ppy and hy if not py and rky . 	1	about a manga-like heroine who fights back at her abusers , it 's energetic and satisfying if not deep and psychological . 	0	WordSwapMaskedLM
138	the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did n't d ye for his second . 	0	the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did n't reserve enough for his second . 	1	WordSwapMaskedLM
139	the volatile ness of female hood is the thesis of this unhurried , rky ss that is so off-hollywood that it seems positively ground in its ity and iness . 	1	the volatile dynamics of female friendship is the subject of this unhurried , low-key film that is so off-hollywood that it seems positively french in its rhythms and resonance . 	0	WordSwapMaskedLM
140	a solid ification of the male midlife roid . 	1	a solid examination of the male midlife crisis . 	0	WordSwapMaskedLM
141	a iot 's pic inations with resonance by ilya vsky . 	1	a woman 's pic directed with resonance by ilya chaiken . 	0	WordSwapMaskedLM
142	may reawaken ive of the kennedy assassination but this fictional ly cia u for ay can than for the big screen . 	0	may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen . 	1	WordSwapMaskedLM
143	bleakly rky , its characters all the more uram for refusing to pity or memorialize themselves . 	1	bleakly funny , its characters all the more touching for refusing to pity or memorialize themselves . 	0	WordSwapMaskedLM
144	delivers the same s same ing , ed up with latin flava and turned out by hollywood s . 	0	delivers the same old same old , tarted up with latin flava and turned out by hollywood playas . 	1	WordSwapMaskedLM
145	does n't y much besides y ry , raunchy language and a series of brutal hearted pieces ... that raise the bar on stylized screen ability . 	0	does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence . 	1	WordSwapMaskedLM
146	the movie is ivating to il and engages one in a sense of epic struggle -- inner and outer -- that 's all too atic in hollywood 's sque ness . 	1	the movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that 's all too rare in hollywood 's hastier productions . 	0	WordSwapMaskedLM
147	instead of a hyperbolic beat-charged urban western , it 's an omic , sociologically inatory slice of life . 	1	instead of a hyperbolic beat-charged urban western , it 's an unpretentious , sociologically pointed slice of life . 	0	WordSwapMaskedLM
148	so , too , is this comedy about mild ities clashing in today 's new bie . 	1	so , too , is this comedy about mild culture clashing in today 's new delhi . 	0	WordSwapMaskedLM
